專屬碼	名稱	說明	對應的裝備	販售價個	回收價格	需求量	需求金額	對應物升2星需求量	對應物升2星需求金錢	對應物升3星需求量	對應物升3星需求金錢	對應物升4星需求量	對應物升4星需求金錢	對應物升5星需求量	對應物升5星需求金錢	出處
0503081	9303060	9150001	0103081	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503082	9303061	9150001	0103082	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503083	9303062	9150001	0103083	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503084	9303063	9150001	0103084	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503085	9303064	9150001	0103085	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503086	9303065	9150001	0103086	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503087	9303066	9150001	0103087	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503088	9303067	9150001	0103088	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503089	9303068	9150001	0103089	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503090	9303069	9150001	0103090	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503091	9303070	9150001	0103091	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503092	9303071	9150001	0103092	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503093	9303072	9150001	0103093	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503094	9303073	9150001	0103094	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503095	9303074	9150001	0103095	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503096	9303075	9150001	0103096	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503097	9303076	9150001	0103097	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503098	9303077	9150001	0103098	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503099	9303078	9150001	0103099	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503100	9303079	9150001	0103100	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503101	9303080	9150001	0103101	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503102	9303081	9150001	0103102	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503103	9303082	9150001	0103103	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503104	9303083	9150001	0103104	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503105	9303084	9150001	0103105	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503106	9303085	9150001	0103106	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503107	9303086	9150001	0103107	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503108	9303087	9150001	0103108	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503109	9303088	9150001	0103109	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503651	9303651	9150001	0103651	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503654	9303654	9150001	0103654	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503658	9303658	9150001	0103658	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503660	9303660	9150001	0103660	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503663	9303663	9150001	0103663	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505001	9305001	9150001	0105001	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505002	9305002	9150001	0105002	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505003	9305003	9150001	0105003	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505004	9305004	9150001	0105004	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505005	9305005	9150001	0105005	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505006	9305006	9150001	0105006	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	basic
0505007	9305007	9150001	0105007	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505008	9305008	9150001	0105008	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505009	9305009	9150001	0105009	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	gdraw
0505010	9305010	9150001	0105010	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	gdraw
0505011	9305011	9150001	0105011	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	shop
0505012	9305012	9150001	0105012	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0505013	9305013	9150001	0105013	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505014	9305014	9150001	0105014	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	eshop
0505015	9305015	9150001	0105015	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0505016	9305016	9150001	0105016	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	shop
0505017	9305017	9150001	0105017	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	shop
0505018	9305018	9150001	0105018	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	shop
0505019	9305019	9150001	0105019	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0505051	9305020	9150001	0105051	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	gdraw
0505052	9305021	9150001	0105052	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	vdraw
0505053	9305022	9150001	0105053	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505054	9305023	9150001	0105054	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	v10draw
0505055	9305024	9150001	0105055	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	vdraw
0505056	9305025	9150001	0105056	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	vdraw
0505057	9305026	9150001	0105057	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	vdraw
0505058	9305027	9150001	0105058	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	shop
0505059	9305028	9150001	0105059	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505060	9305029	9150001	0105060	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	v10draw
0505061	9305030	9150001	0105061	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v10draw
0505062	9305031	9150001	0105062	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505063	9305032	9150001	0105063	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505064	9305033	9150001	0105064	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505065	9305034	9150001	0105065	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	none
0505101	9305035	9150001	0105101	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	pvp
0505102	9305036	9150001	0105102	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0505103	9305037	9150001	0105103	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	pvp
0505104	9305038	9150001	0105104	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	eshop
0505105	9305039	9150001	0105105	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	eshop
0505106	9305040	9150001	0105106	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0505107	9305041	9150001	0105107	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505501	9305042	9150001	0105501	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0505502	9305043	9150001	0105502	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0505503	9305044	9150001	0105503	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	pvp
0505504	9305045	9150001	0105504	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0505505	9305046	9150001	0105505	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0505506	9305047	9150001	0105506	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0505507	9305048	9150001	0105507	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0505508	9305049	9150001	0105508	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0505509	9305050	9150001	0105509	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	pvp
0505066	9305051	9150001	0105066	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505067	9305052	9150001	0105067	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v10draw
0505068	9305053	9150001	0105068	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505069	9305054	9150001	0105069	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505070	9305055	9150001	0105070	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505071	9305056	9150001	0105071	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505072	9305057	9150001	0105072	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505073	9305058	9150001	0105073	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505074	9305059	9150001	0105074	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505075	9305060	9150001	0105075	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505076	9305061	9150001	0105076	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505077	9305062	9150001	0105077	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505078	9305063	9150001	0105078	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505079	9305064	9150001	0105079	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505080	9305065	9150001	0105080	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505081	9305066	9150001	0105081	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0505082	9305067	9150001	0105082	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505083	9305068	9150001	0105083	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505084	9305069	9150001	0105084	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505085	9305070	9150001	0105085	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505086	9305071	9150001	0105086	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505087	9305072	9150001	0105087	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505088	9305073	9150001	0105088	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505089	9305074	9150001	0105089	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505090	9305075	9150001	0105090	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505091	9305076	9150001	0105091	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505092	9305077	9150001	0105092	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0505093	9305078	9150001	0105093	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505094	9305079	9150001	0105094	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505095	9305080	9150001	0105095	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505096	9305081	9150001	0105096	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505097	9305082	9150001	0105097	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505098	9305083	9150001	0105098	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505099	9305084	9150001	0105099	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505100	9305085	9150001	0105100	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505201	9305086	9150001	0105201	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505202	9305087	9150001	0105202	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505203	9305088	9150001	0105203	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505204	9305089	9150001	0105204	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505205	9305090	9150001	0105205	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505206	9305091	9150001	0105206	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505207	9305092	9150001	0105207	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505208	9305093	9150001	0105208	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505209	9305094	9150001	0105209	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505651	9305651	9150001	0105651	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505654	9305654	9150001	0105654	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505658	9305658	9150001	0105658	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505660	9305660	9150001	0105660	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0505664	9305664	9150001	0105664	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502001	9302001	9150001	0102001	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502002	9302002	9150001	0102002	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502003	9302003	9150001	0102003	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502004	9302004	9150001	0102004	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502005	9302005	9150001	0102005	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	shop
0502006	9302006	9150001	0102006	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
