專屬碼	名稱	說明	技能模式	施放對象	附加作用類型	傷害轉換率	購買限制等級(拳館)	可閃躲/防禦	裝備限制等級(角色)	動作	鏡頭	音效	特效	ICON	傷害	成功機率	怒氣消耗	血量限制	冷卻時間	拳種屬性	強化屬性1升級花費模組	強化屬性2升級花費模組	強化屬性3升級花費模組	強化屬性4升級花費模組	強化屬性顯示配置(1傷害2成功機率3怒氣消耗4血量限制5冷卻時間)
0301011	9030011	9130011	1	2	{}	0.00	22	0	22	1011	Camera_Skill08	[]	["FX_Skill11_G"]	UI_Skill_Icon_S11	[10,0.05,5,1]	[100,0]	[50,-0.2]	[0.6,0.003]	[25,-0.08]	0	1	3	4	5	[1,3,4,5]
0301012	9030012	9130012	1	1	{}	0.20	30	0	26	1012	Camera_Skill12	["Skill12_xiu","Punch_JabHit","Punch_HookHit","Punch_HookHitO","Punch_xiu_2","Punch_xiu_3"]	["FX_SkillL_G","FX_Trail","FX_Skill_Hit_s","FX_Skill_S12","FX_Skill_Hit"]	UI_Skill_Icon_S12	[11,0.6,1,9]	[100,0]	[100,-0.2]	[0.4,0.002]	[30,-0.1]	1	1	3	4	5	[1,3,4,5]
0301013	9030036	9130036	1	1	{}	0.00	0	0	0	1013	Camera_Skill04	["Punch_xiu_2","Punch_xiu_3","Punch_HookHit","Punch_HookHitO"]	["FX_Trail","FX_Hit_02","FX_Hit_03"]	UI_Skill_Icon_S13	[15,0.7,1,3]	[100,0]	[100,-0.2]	[0.8,0.002]	[20,-0.1]	0	1	3	4	5	[1,3,4,5]
0302001	9030013	9130013	2	1	{}	0.00	0	0	0			[]	[]		[10,0,8,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302002	9030014	9130014	2	2	{}	0.00	0	0	0			[]	[]		[2,0,9,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302003	9030015	9130015	2	2	{}	0.00	0	0	0			[]	[]		[50,0,10,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302004	9030016	9130016	2	2	{}	0.00	0	0	0			[]	[]		[1,0,11,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302005	9030017	9130017	2	2	{}	0.00	0	0	0			[]	[]		[5,0,12,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302006	9030018	9130018	2	2	{}	0.00	0	1	0			[]	[]		[50,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302007	9030019	9130019	2	2	{}	0.00	0	0	0			[]	[]		[1,0,14,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302008	9030020	9130020	2	2	{}	0.00	0	0	0			[]	[]		[1,0,15,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302009	9030021	9130021	2	2	{}	0.00	0	0	0			[]	[]		[100,0,16,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302010	9030022	9130022	2	2	{}	0.00	0	0	0			[]	[]		[1,0,17,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302011	9030023	9130023	2	2	{}	0.00	0	0	0			[]	[]		[20,0,18,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302012	9030024	9130024	2	2	{}	0.00	0	0	0			[]	[]		[10,0,19,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302013	9030037	9130037	2	2	{}	0.00	0	0	0			[]	[]		[3,0,19,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302014	9030038	9130038	2	2	{}	0.00	0	0	0			[]	[]		[30,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302015	9030039	9130039	2	2	{}	0.00	0	0	0			[]	[]		[3,0,12,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302016	9030040	9130040	2	2	{}	0.00	0	0	0			[]	[]		[3,0,14,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302017	9030041	9130041	2	2	{}	0.00	0	0	0			[]	[]		[2,0,12,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302018	9030042	9130042	2	2	{}	0.00	0	0	0			[]	[]		[20,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302019	9030043	9130043	2	2	{}	0.00	0	0	0			[]	[]		[25,0,10,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302020	9030044	9130044	2	2	{}	0.00	0	0	0			[]	[]		[5,0,14,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302021	9030045	9130045	2	2	{}	0.00	0	0	0			[]	[]		[10,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302022	9030046	9130046	2	2	{}	0.00	0	0	0			[]	[]		[1,0,12,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302023	9030047	9130047	2	2	{}	0.00	0	0	0			[]	[]		[1,0,19,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302024	9030048	9130048	2	2	{}	0.00	0	0	0			[]	[]		[100,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302025	9030049	9130049	2	2	{}	0.00	0	0	0			[]	[]		[50,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302026	9030050	9130050	2	2	{}	0.00	0	0	0			[]	[]		[30,0,18,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302027	9030051	9130051	2	2	{}	0.00	0	0	0			[]	[]		[8,0,12,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302028	9030052	9130052	2	2	{}	0.00	0	0	0			[]	[]		[1,0,15,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302029	9030053	9130053	2	2	{}	0.00	0	0	0			[]	[]		[20,0,19,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302030	9030054	9130054	2	2	{}	0.00	0	0	0			[]	[]		[100,0,28,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302031	9030055	9130055	2	2	{"1":{"type":29,"base":-20,"grow":0},"2":{"type":30,"base":-20,"grow":0},"3":{"type":31,"base":-20,"grow":0}}	0.00	0	0	0			[]	[]		[10000,0,36,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302032	9030056	9130056	2	2	{}	0.00	0	0	0			[]	[]		[40,0,29,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302033	9030057	9130057	2	2	{}	0.00	0	0	0			[]	[]		[80,0,13,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302034	9030058	9130058	2	2	{}	0.00	0	0	0			[]	[]		[210,0,28,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302035	9030059	9130059	2	2	{}	0.00	0	0	0			[]	[]		[30,0,30,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302036	9030060	9130060	2	1	{}	0.00	0	0	0			[]	[]		[100,0,39,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302037	9030061	9130061	2	2	{}	0.00	0	0	0			[]	[]		[50,0,40,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302038	9030062	9130062	2	2	{}	0.00	0	0	0			[]	[]		[100,0,41,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302039	9030063	9130063	2	2	{}	0.00	0	0	0			[]	[]		[50,0,19,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302040	9030064	9130064	2	2	{}	0.00	0	0	0			[]	[]		[30,0,29,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302041	9030065	9130065	2	2	{}	0.00	0	0	0			[]	[]		[20,0,40,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0302042	9030066	9130066	2	2	{}	0.00	0	0	0			[]	[]		[12,0,40,0]	[0,0]	[0,0]	[0,0]	[0,0]	0					[0,0,0,0]
0305001	9030025	9130025	1	1	{"1":{"type":6,"base":5,"grow":0}}	0.00	35	0	35	5001	Camera_Skill51	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S51	[150,7,1,1]	[80,0.22]	[60,-0.1]	[0.6,0]	[20,-0.1]	0	1	2	3	5	[1,2,3,5]
0305002	9030026	9130026	2	2	{}	0.50	35	0	35	5002	Camera_Skill51	["Punch_HookHitO"]	["FX_SkillL_G","chair_weapon","FX_Skill_Trail"]	UI_Skill_Icon_S52	[130,6.5,1,1]	[55,0.3]	[50,-0.1]	[0.8,0]	[15,-0.11]	0	1	2	3	5	[1,2,3,5]
0305003	9030027	9130027	1	1	{"1":{"type":4,"base":4,"grow":0}}	0.90	23	0	23	5003	Camera_Skill51	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_spirit","FX_Skill_Hit"]	UI_Skill_Icon_S53	[20,3.8,1,2]	[75,0.05]	[50,-0.1]	[0.8,0]	[25,-0.1]	0	1	2	3	5	[1,2,3,5]
0305004	9030028	9130028	1	1	{"1":{"type":4,"base":5,"grow":0}}	0.90	25	0	25	5004	Camera_Skill51	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Trail","FX_Skill_Hit"]	UI_Skill_Icon_S54	[16,2.4,1,5]	[45,0.15]	[70,-0.1]	[0.4,0]	[20,-0.04]	0	1	2	3	5	[1,2,3,5]
0305005	9030029	9130029	2	2	{"1":{"type":22,"base":5,"grow":0}}	0.00	27	0	27	5005	Camera_Skill51	["Punch_HookHitO","Punch_xiu_2"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S55	[120,11,1,1]	[70,0.3]	[70,-0.1]	[0.45,0]	[23,-0.09]	0	1	2	3	5	[1,2,3,5]
0305006	9030030	9130030	1	1	{}	0.70	41	0	41	5006	Camera_Skill51	["Punch_HookHitO","FX_SlowMotion"]	["FX_SkillL_G","FX_Skill56_G","FX_Skill_Hit"]	UI_Skill_Icon_S56	[250,13,1,1]	[80,0.22]	[100,-0.1]	[0.5,0]	[35,-0.25]	0	1	2	3	5	[1,2,3,5]
0305007	9030031	9130031	1	1	{}	0.80	33	0	33	5007	Camera_Skill51	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S57	[40,0.6,3,1]	[70,0.3]	[80,-0.1]	[0.35,0]	[17,-0.05]	0	1	2	3	5	[1,2,3,5]
0305008	9030032	9130032	1	1	{}	0.70	60	0	60	5008	Camera_Skill51	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S58	[250,13,21,1]	[55,0.3]	[80,-0.1]	[0.4,0]	[25,-0.05]	0	1	2	3	5	[1,2,3,5]
0305009	9030033	9130033	1	1	{}	0.00	60	0	60	5009	Camera_Skill60	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S59	[125,17,1,1]	[75,0.25]	[100,-0.1]	[0.45,0]	[35,-0.25]	0	1	2	3	5	[1,2,3,5]
0305010	9030034	9130034	1	1	{}	0.90	43	0	43	5010	Camera_Skill60	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S60	[40,0.5,2,1]	[40,0.3]	[100,-0.1]	[0.7,0]	[15,-0.08]	0	1	2	3	5	[1,2,3,5]
0305011	9030035	9130035	1	1	{"1":{"type":22,"base":6,"grow":0}}	0.50	45	0	45	5011	Camera_Skill60	["Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_Hit"]	UI_Skill_Icon_S61	[45,12,21,1]	[80,0.01]	[60,-0.1]	[0.7,0]	[18,-0.01]	0	1	2	3	5	[1,2,3,5]
