0.章節	1.(0開始 1結束)	2.角色語音(沒填就一定播)	3.CG名稱	4.左角色名稱	5.中角色名稱	6.右角色名稱	7.對話角色 (0無1左2中3右)	8.對話內容	9.左角色表情	10.中角色表情	11.右角色表情	12.啟動角色(CG不用填)
			Role_CG_902				0	9112082				
			Role_CG_902				0	9112083				
			Role_CG_902				0	9112084				
			Role_CG_902				0	9112085				
1010090	1		Role_CG_1001				0	9112050				
			Role_CG_1001				0	9112051				
			Role_CG_1001				0	9112052				
			Role_CG_1001				0	9112053				
			Role_CG_1001				0	9112054				
			Role_CG_1001				0	9112055				
			Role_CG_1001				0	9112056				
			Role_CG_1001				0	9112057				
			Role_CG_1001				0	9112058				
1010180	1		Role_CG_1002				0	9112086				
			Role_CG_1002				0	9112087				
			Role_CG_1002				0	9112088				
1001030	0	1100001		1100001		1100005	1	9211101	Erina_normal		Akane_normal	1100001
		1100005		1100001		1100005	3	9211519	Erina_normal		Akane_smile	1100001
		1100001		1100001		1100005	1	9211102	Erina_angry		Akane_smile	1100001
1001180	0	1100005		1100001		1100005	3	9211524	Erina_normal		Akane_smile	1100001
		1100001		1100001		1100005	1	9211103	Erina_smile		Akane_smile	1100001
1002090	0	1100001		1100001		1100002	1	9211104	Erina_surprise		Hinada_normal	1100001
		1100002		1100001		1100002	3	9211219	Erina_normal		Hinada_smile	1100001
		1100001		1100001		1100002	1	9211105	Erina_surprise		Hinada_normal	1100001
		1100002		1100001		1100002	3	9211220	Erina_normal		Hinada_smile	1100001
		1100002		1100001		1100002	3	9211221	Erina_normal		Hinada_smile	1100001
		1100001		1100001		1100002	1	9211106	Erina_surprise		Hinada_smile	1100001
1003180	0	1100001		1100001		1100003	1	9211107	Erina_normal		Tsubasa_normal	1100001
		1100003		1100001		1100003	3	9211318	Erina_normal		Tsubasa_angry	1100001
		1100001		1100001		1100003	1	9211108	Erina_angry		Tsubasa_angry	1100001
1004150	0	1100004		1100001		1100004	3	9211416	Erina_normal		Meisa_normal	1100001
		1100001		1100001		1100004	1	9211109	Erina_surprise		Meisa_normal	1100001
		1100004		1100001		1100004	3	9211417	Erina_normal		Meisa_angry	1100001
		1100004		1100001		1100004	3	9211418	Erina_normal		Meisa_angry	1100001
		1100001		1100001		1100004	1	9211110	Erina_angry		Meisa_normal	1100001
		1100001		1100001		1100004	1	9211111	Erina_shy		Meisa_normal	1100001
		1100004		1100001		1100004	3	9211419	Erina_shy		Meisa_smile	1100001
1005180	0	1100005		1100001		1100005	3	9211531	Erina_normal		Akane_smile	1100001
		1100001		1100001		1100005	1	9211112	Erina_smile		Akane_normal	1100001
		1100005		1100001		1100005	3	9211532	Erina_normal		Akane_smile	1100001
		1100001		1100001		1100005	1	9211113	Erina_surprise		Akane_normal	1100001
1006180	0	1100001		1100001		1100006	1	9211114	Erina_angry		Akane_normal	1100001
		1100001		1100001		1100006	1	9211115	Erina_normal		Akane_normal	1100001
		1100006		1100001		1100006	3	9211623	Erina_normal		Hatsuki_smile	1100001
		1100001		1100001		1100006	1	9211116	Erina_smile		Hatsuki_normal	1100001
		1100006		1100001		1100006	3	9211624	Erina_normal		Hatsuki_smile	1100001
1001030	0	1100002		1100002		1100005	1	9211201	Hinada_smile		Akane_normal	1100002
		1100005		1100002		1100005	3	9211520	Hinada_normal		Akane_smile	1100002
		1100002		1100002		1100005	1	9211202	Hinada_love		Akane_normal	1100002
1001180	0	1100005		1100002		1100005	3	9211525	Hinada_normal		Akane_smile	1100002
		1100002		1100002		1100005	1	9211203	Hinada_surprise		Akane_normal	1100002
		1100005		1100002		1100005	3	9211526	Hinada_normal		Akane_bigsmile	1100002
1002090	0	1100002		1100002		1100007	1	9211204	Hinada_surprise		Mizuki_serious	1100002
		1100007		1100002		1100007	3	9211704	Hinada_normal		Mizuki_closeeye	1100002
		1100002		1100002		1100007	1	9211205	Hinada_surprise		Mizuki_closeeye	1100002
		1100007		1100002		1100007	3	9211705	Hinada_normal		Mizuki_angry	1100002
1003180	0	1100002		1100002		1100003	1	9211206	Hinada_smile		Tsubasa_normal	1100002
		1100003		1100002		1100003	3	9211319	Hinada_normal		Tsubasa_angry	1100002
		1100002		1100002		1100003	1	9211207	Hinada_love		Tsubasa_angry	1100002
1004150	0	1100002		1100002		1100004	1	9211208	Hinada_love		Meisa_normal	1100002
		1100004		1100002		1100004	3	9211420	Hinada_smile		Meisa_surprise	1100002
		1100002		1100002		1100004	1	9211209	Hinada_smile		Meisa_normal	1100002
		1100004		1100002		1100004	3	9211421	Hinada_smile		Meisa_surprise	1100002
		1100002		1100002		1100004	1	9211210	Hinada_love		Meisa_normal	1100002
		1100004		1100002		1100004	3	9211422	Hinada_smile		Meisa_normal	1100002
		1100002		1100002		1100004	1	9211211	Hinada_smile		Meisa_normal	1100002
1005180	0	1100002		1100002		1100005	1	9211212	Hinada_love		Akane_normal	1100002
		1100005		1100002		1100005	3	9211533	Hinada_smile		Akane_smile	1100002
		1100005		1100002		1100005	3	9211534	Hinada_smile		Akane_smile	1100002
		1100002		1100002		1100005	1	9211213	Hinada_surprise		Akane_normal	1100002
		1100005		1100002		1100005	3	9211535	Hinada_smile		Akane_smile	1100002
		1100002		1100002		1100005	1	9211214	Hinada_smile		Akane_normal	1100002
1006180	0	1100002		1100002		1100006	1	9211215	Hinada_surprise		Hatsuki_normal	1100002
		1100006		1100002		1100006	3	9211625	Hinada_normal		Hatsuki_normal	1100002
		1100002		1100002		1100006	1	9211216	Hinada_sad		Hatsuki_normal	1100002
		1100006		1100002		1100006	3	9211626	Hinada_normal		Hatsuki_smile	1100002
		1100002		1100002		1100006	1	9211217	Hinada_love		Hatsuki_normal	1100002
		1100006		1100002		1100006	3	9211627	Hinada_normal		Hatsuki_shy	1100002
		1100002		1100002		1100006	1	9211218	Hinada_love		Hatsuki_normal	1100002
1001030	0	1100003		1100003		1100005	1	9211301	Tsubasa_angry		Akane_normal	1100003
		1100005		1100003		1100005	3	9211521	Tsubasa_normal		Akane_bigsmile	1100003
		1100003		1100003		1100005	1	9211302	Tsubasa_angry		Akane_normal	1100003
1001180	0	1100005		1100003		1100005	3	9211527	Tsubasa_normal		Akane_bigsmile	1100003
		1100003		1100003		1100005	1	9211303	Tsubasa_angry		Akane_normal	1100003
1002090	0	1100003		1100003		1100002	1	9211304	Tsubasa_angry		Hinada_normal	1100003
		1100002		1100003		1100002	3	9211222	Tsubasa_normal		Hinada_smile	1100003
		1100003		1100003		1100002	1	9211305	Tsubasa_angry		Hinada_normal	1100003
		1100002		1100003		1100002	3	9211223	Tsubasa_normal		Hinada_love	1100003
1003180	0	1100003		1100003		1100007	1	9211306	Tsubasa_angry		Mizuki_serious	1100003
		1100007		1100003		1100007	3	9211706	Tsubasa_normal		Mizuki_angry	1100003
		1100003		1100003		1100007	1	9211307	Tsubasa_angry		Mizuki_serious	1100003
1004150	0	1100003		1100003		1100004	1	9211308	Tsubasa_angry		Meisa_normal	1100003
		1100004		1100003		1100004	3	9211423	Tsubasa_normal		Meisa_angry	1100003
		1100003		1100003		1100004	1	9211309	Tsubasa_sad		Meisa_normal	1100003
		1100004		1100003		1100004	3	9211424	Tsubasa_sad		Meisa_normal	1100003
1005180	0	1100005		1100003		1100005	3	9211536	Tsubasa_normal		Akane_bigsmile	1100003
		1100003		1100003		1100005	1	9211310	Tsubasa_angry		Akane_smile	1100003
		1100005		1100003		1100005	3	9211537	Tsubasa_normal		Akane_bigsmile	1100003
		1100003		1100003		1100005	1	9211311	Tsubasa_angry		Akane_smile	1100003
		1100005		1100003		1100005	3	9211538	Tsubasa_normal		Akane_bigsmile	1100003
		1100003		1100003		1100005	1	9211312	Tsubasa_rage		Akane_smile	1100003
		1100005		1100003		1100005	3	9211539	Tsubasa_normal		Akane_bigsmile	1100003
1006180	0	1100003		1100003		1100006	1	9211313	Tsubasa_angry		Hatsuki_normal	1100003
		1100006		1100003		1100006	3	9211628	Tsubasa_normal		Hatsuki_surprise	1100003
		1100003		1100003		1100006	1	9211314	Tsubasa_angry		Hatsuki_normal	1100003
		1100006		1100003		1100006	3	9211629	Tsubasa_normal		Hatsuki_angry	1100003
		1100003		1100003		1100006	1	9211315	Tsubasa_angry		Hatsuki_normal	1100003
		1100006		1100003		1100006	3	9211630	Tsubasa_normal		Hatsuki_angry	1100003
		1100003		1100003		1100006	1	9211316	Tsubasa_rage		Hatsuki_normal	1100003
		1100006		1100003		1100006	3	9211631	Tsubasa_normal		Hatsuki_angry	1100003
		1100003		1100003		1100006	1	9211317	Tsubasa_angry		Hatsuki_normal	1100003
1001030	0	1100004		1100004		1100005	1	9211401	Meisa_surprise		Akane_normal	1100004
		1100005		1100004		1100005	3	9211522	Meisa_normal		Akane_smile	1100004
		1100004		1100004		1100005	1	9211402	Meisa_angry		Akane_normal	1100004
1001180	0	1100004		1100004		1100005	1	9211403	Meisa_shy		Akane_normal	1100004
		1100005		1100004		1100005	3	9211528	Meisa_normal		Akane_bigsmile	1100004
1002090	0	1100004		1100004		1100002	1	9211404	Meisa_surprise		Hinada_normal	1100004
		1100002		1100004		1100002	3	9211224	Meisa_normal		Hinada_love	1100004
		1100004		1100004		1100002	1	9211405	Meisa_normal		Hinada_normal	1100004
		1100002		1100004		1100002	3	9211225	Meisa_normal		Hinada_smile	1100004
		1100004		1100004		1100002	1	9211406	Meisa_angry		Hinada_normal	1100004
1003180	0	1100004		1100004		1100003	1	9211407	Meisa_normal		Tsubasa_normal	1100004
		1100003		1100004		1100003	3	9211320	Meisa_normal		Tsubasa_smile	1100004
		1100004		1100004		1100003	1	9211408	Meisa_normal		Tsubasa_normal	1100004
		1100003		1100004		1100003	3	9211321	Meisa_normal		Tsubasa_sad	1100004
		1100004		1100004		1100003	1	9211409	Meisa_angry		Tsubasa_normal	1100004
1004150	0	1100004		1100004		1100007	1	9211410	Meisa_surprise		Mizuki_serious	1100004
		1100007		1100004		1100007	3	9211707	Meisa_normal		Mizuki_angry	1100004
		1100004		1100004		1100007	1	9211411	Meisa_angry		Mizuki_serious	1100004
		1100007		1100004		1100007	3	9211708	Meisa_normal		Mizuki_mad	1100004
1005180	0	1100005		1100004		1100005	3	9211540	Meisa_normal		Akane_bigsmile	1100004
		1100004		1100004		1100005	1	9211412	Meisa_normal		Akane_smile	1100004
		1100005		1100004		1100005	3	9211541	Meisa_normal		Akane_smile	1100004
		1100004		1100004		1100005	1	9211413	Meisa_shy		Akane_smile	1100004
		1100005		1100004		1100005	3	9211542	Meisa_normal		Akane_bigsmile	1100004
1006180	0	1100004		1100004		1100006	1	9211414	Meisa_normal		Hatsuki_normal	1100004
		1100006		1100004		1100006	3	9211632	Meisa_normal		Hatsuki_normal	1100004
		1100006		1100004		1100006	3	9211633	Meisa_normal		Hatsuki_angry	1100004
		1100004		1100004		1100006	1	9211415	Meisa_shy		Hatsuki_normal	1100004
1001030	0	1100005		1100005		1100007	1	9211501	Akane_surprise		Mizuki_closeeye	1100005
		1100007		1100005		1100007	3	9211701	Akane_normal		Mizuki_closeeye	1100005
		1100005		1100005		1100007	1	9211502	Akane_angry		Mizuki_closeeye	1100005
1001180	0	1100005		1100005		1100007	1	9211503	Akane_angry		Mizuki_closeeye	1100005
		1100007		1100005		1100007	3	9211702	Akane_normal		Mizuki_serious	1100005
		1100005		1100005		1100007	1	9211504	Akane_surprise		Mizuki_serious	1100005
		1100007		1100005		1100007	3	9211703	Akane_normal		Mizuki_closeeye	1100005
1002090	0	1100005		1100005		1100002	1	9211505	Akane_surprise		Hinada_normal	1100005
		1100002		1100005		1100002	3	9211226	Akane_normal		Hinada_smile	1100005
		1100005		1100005		1100002	1	9211506	Akane_surprise		Hinada_normal	1100005
		1100002		1100005		1100002	3	9211227	Akane_normal		Hinada_love	1100005
		1100005		1100005		1100002	1	9211507	Akane_bigsmile		Hinada_normal	1100005
1003180	0	1100005		1100005		1100003	1	9211508	Akane_smile		Tsubasa_normal	1100005
		1100003		1100005		1100003	3	9211322	Akane_normal		Tsubasa_angry	1100005
		1100005		1100005		1100003	1	9211509	Akane_smile		Tsubasa_angry	1100005
1004150	0	1100005		1100005		1100004	1	9211510	Akane_smile		Meisa_normal	1100005
		1100004		1100005		1100004	3	9211425	Akane_normal		Meisa_normal	1100005
		1100004		1100005		1100004	3	9211426	Akane_normal		Meisa_shy	1100005
		1100005		1100005		1100004	1	9211511	Akane_smile		Meisa_normal	1100005
		1100005		1100005		1100004	1	9211512	Akane_bigsmile		Meisa_normal	1100005
		1100004		1100005		1100004	3	9211427	Akane_normal		Meisa_normal	1100005
1005180	0	1100005		1100005		1100007	1	9211513	Akane_surprise		Mizuki_closeeye	1100005
		1100007		1100005		1100007	3	9211709	Akane_normal		Mizuki_serious	1100005
		1100005		1100005		1100007	1	9211514	Akane_angry		Mizuki_closeeye	1100005
		1100007		1100005		1100007	3	9211710	Akane_angry		Mizuki_angry	1100005
1006180	0	1100005		1100005		1100006	1	9211515	Akane_surprise		Hatsuki_normal	1100005
		1100006		1100005		1100006	3	9211634	Akane_smile		Hatsuki_angry	1100005
		1100005		1100005		1100006	1	9211516	Akane_bigsmile		Hatsuki_normal	1100005
		1100006		1100005		1100006	3	9211635	Akane_smile		Hatsuki_shy	1100005
		1100005		1100005		1100006	1	9211517	Akane_bigsmile		Hatsuki_shy	1100005
		1100006		1100005		1100006	3	9211636	Akane_smile		Hatsuki_angry	1100005
		1100005		1100005		1100006	1	9211518	Akane_bigsmile		Hatsuki_angry	1100005
1001030	0	1100006		1100006		1100005	1	9211601	Hatsuki_angry		Akane_normal	1100006
		1100005		1100006		1100005	3	9211523	Hatsuki_normal		Akane_bigsmile	1100006
		1100006		1100006		1100005	1	9211602	Hatsuki_angry		Akane_bigsmile	1100006
1001180	0	1100006		1100006		1100005	1	9211603	Hatsuki_angry		Akane_normal	1100006
		1100005		1100006		1100005	3	9211529	Hatsuki_angry		Akane_bigsmile	1100006
		1100006		1100006		1100005	1	9211604	Hatsuki_shy		Akane_smile	1100006
		1100005		1100006		1100005	3	9211530	Hatsuki_shy		Akane_bigsmile	1100006
		1100006		1100006		1100005	1	9211605	Hatsuki_angry		Akane_smile	1100006
1002090	0	1100006		1100006		1100002	1	9211606	Hatsuki_surprise		Hinada_normal	1100006
		1100002		1100006		1100002	3	9211228	Hatsuki_normal		Hinada_smile	1100006
		1100006		1100006		1100002	1	9211607	Hatsuki_smile		Hinada_normal	1100006
		1100002		1100006		1100002	3	9211229	Hatsuki_normal		Hinada_smile	1100006
		1100006		1100006		1100002	1	9211608	Hatsuki_shy		Hinada_normal	1100006
		1100002		1100006		1100002	3	9211230	Hatsuki_normal		Hinada_love	1100006
1003180	0	1100006		1100006		1100003	1	9211609	Hatsuki_smile		Tsubasa_normal	1100006
		1100003		1100006		1100003	3	9211323	Hatsuki_normal		Tsubasa_angry	1100006
		1100006		1100006		1100003	1	9211610	Hatsuki_question		Tsubasa_angry	1100006
		1100003		1100006		1100003	3	9211324	Hatsuki_normal		Tsubasa_rage	1100006
		1100006		1100006		1100003	1	9211611	Hatsuki_sad		Tsubasa_rage	1100006
1004150	0	1100006		1100006		1100004	1	9211612	Hatsuki_surprise		Meisa_normal	1100006
		1100004		1100006		1100004	3	9211428	Hatsuki_normal		Meisa_surprise	1100006
		1100006		1100006		1100004	1	9211613	Hatsuki_normal		Meisa_normal	1100006
		1100006		1100006		1100004	1	9211614	Hatsuki_smile		Meisa_normal	1100006
		1100004		1100006		1100004	3	9211429	Hatsuki_normal		Meisa_angry	1100006
		1100006		1100006		1100004	1	9211615	Hatsuki_smile		Meisa_normal	1100006
1005180	0	1100006		1100006		1100005	1	9211616	Hatsuki_angry		Akane_normal	1100006
		1100005		1100006		1100005	3	9211543	Hatsuki_normal		Akane_bigsmile	1100006
		1100006		1100006		1100005	1	9211617	Hatsuki_shy		Akane_normal	1100006
		1100005		1100006		1100005	3	9211544	Hatsuki_normal		Akane_bigsmile	1100006
		1100006		1100006		1100005	1	9211618	Hatsuki_angry		Akane_normal	1100006
		1100005		1100006		1100005	3	9211545	Hatsuki_normal		Akane_smile	1100006
		1100006		1100006		1100005	1	9211619	Hatsuki_shy		Akane_normal	1100006
		1100005		1100006		1100005	3	9211546	Hatsuki_angry		Akane_smile	1100006
1006180	0	1100006		1100006		1100007	1	9211620	Hatsuki_surprise		Mizuki_closeeye	1100006
		1100007		1100006		1100007	3	9211711	Hatsuki_normal		Mizuki_closeeye	1100006
		1100006		1100006		1100007	1	9211621	Hatsuki_surprise		Mizuki_closeeye	1100006
		1100007		1100006		1100007	3	9211712	Hatsuki_normal		Mizuki_mad	1100006
		1100006		1100006		1100007	1	9211622	Hatsuki_angry		Mizuki_mad	1100006
