播放位置	類型	參數1	參數2	優先權	動作	表情	顯示類型	顯示時機	1100001	1100002	1100003	1100004	1100005	1100006	1100007	最低等級	最高等級
1	14	0	0	90	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	功能類	大廳(新進信件提示),僅有一次	{"1100001":9240028,"1100002":9241028,"1100003":9242028,"1100004":9243028,"1100005":9244028,"1100006":9245028,"1100007":9246028,}							0	90
1	15	0	0	90	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":2,}	功能類	登入大廳時(新關卡活動提示),僅有一次	{"1100001":9240029,"1100002":9241029,"1100003":9242029,"1100004":9243029,"1100005":9244029,"1100006":9245029,"1100007":9246029,}							0	90
1	16	0	0	90	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	功能類	在大廳介面,商店刷新時間到時顯示,僅有一次	{"1100001":9240030,"1100002":9241030,"1100003":9242030,"1100004":9243030,"1100005":9244030,"1100006":9245030,"1100007":9246030,}							0	90
1	17	0	0	90	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":9,}	功能類	登入大廳時(新限時活動提示),僅有一次	{"1100001":9240031,"1100002":9241031,"1100003":9242031,"1100004":9243031,"1100005":9244031,"1100006":9245031,"1100007":9246031,}							0	90
1	18	0	0	5	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	功能類	切回大廳時( 拳館有提升等級 )	{"1100001":9240032,"1100002":9241032,"1100003":9242032,"1100004":9243032,"1100005":9244032,"1100006":9245032,"1100007":9246032,}							0	90
0	19	1	1	99	{"1100001":17,"1100002":17,"1100003":17,"1100004":17,"1100005":17,"1100006":17,"1100007":17,}	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":2,}	互動類	任何地方=>角色被觸碰到胸部1	{"1100001":9240033,"1100002":9241033,"1100003":9242033,"1100004":9243033,"1100005":9244033,"1100006":9245033,"1100007":9246033,}							0	90
0	19	1	1	99	{"1100001":18,"1100002":18,"1100003":18,"1100004":18,"1100005":18,"1100006":18,"1100007":18,}	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":9,}	互動類	任何地方=>角色被觸碰到胸部2	{"1100001":9240034,"1100002":9241034,"1100003":9242034,"1100004":9243034,"1100005":9244034,"1100006":9245034,"1100007":9246034,}							20	90
0	19	1	1	99	{"1100001":17,"1100002":17,"1100003":17,"1100004":17,"1100005":17,"1100006":17,"1100007":17,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	互動類	任何地方=>角色被觸碰到胸部3	{"1100001":9240035,"1100002":9241035,"1100003":9242035,"1100004":9243035,"1100005":9244035,"1100006":9245035,"1100007":9246035,}							30	90
0	19	1	1	99	{"1100001":18,"1100002":18,"1100003":18,"1100004":18,"1100005":18,"1100006":18,"1100007":18,}	{"1100001":9,"1100002":9,"1100003":9,"1100004":9,"1100005":9,"1100006":9,"1100007":2,}	互動類	任何地方=>角色被觸碰到胸部4	{"1100001":9240036,"1100002":9241036,"1100003":9242036,"1100004":9243036,"1100005":9244036,"1100006":9245036,"1100007":9246036,}							40	90
0	19	1	1	99	{"1100001":17,"1100002":17,"1100003":17,"1100004":17,"1100005":17,"1100006":17,"1100007":17,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":1,}	互動類	任何地方=>角色被觸碰到胸部5	{"1100001":9240037,"1100002":9241037,"1100003":9242037,"1100004":9243037,"1100005":9244037,"1100006":9245037,"1100007":9246037,}							50	90
0	19	1	1	99	{"1100001":18,"1100002":18,"1100003":18,"1100004":18,"1100005":18,"1100006":18,"1100007":18,}	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":5,}	互動類	任何地方=>角色被觸碰到胸部6	{"1100001":9240038,"1100002":9241038,"1100003":9242038,"1100004":9243038,"1100005":9244038,"1100006":9245038,"1100007":9246038,}							60	90
0	19	2	1	99	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":4,}	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":2,}	互動類	任何地方=>角色被觸碰到身體1	{"1100001":9240039,"1100002":9241039,"1100003":9242039,"1100004":9243039,"1100005":9244039,"1100006":9245039,"1100007":9246039,}							0	90
0	19	2	1	99	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":4,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":1,}	互動類	任何地方=>角色被觸碰到身體2	{"1100001":9240040,"1100002":9241040,"1100003":9242040,"1100004":9243040,"1100005":9244040,"1100006":9245040,"1100007":9246040,}							20	90
0	19	2	1	99	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":5,}	互動類	任何地方=>角色被觸碰到身體3	{"1100001":9240041,"1100002":9241041,"1100003":9242041,"1100004":9243041,"1100005":9244041,"1100006":9245041,"1100007":9246041,}							30	90
0	19	2	1	99	{"1100001":14,"1100002":14,"1100003":14,"1100004":14,"1100005":14,"1100006":14,"1100007":14,}	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":2,}	互動類	任何地方=>角色被觸碰到身體4	{"1100001":9240042,"1100002":9241042,"1100003":9242042,"1100004":9243042,"1100005":9244042,"1100006":9245042,"1100007":9246042,}							40	90
0	19	2	1	99	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":5,}	互動類	任何地方=>角色被觸碰到身體5	{"1100001":9240043,"1100002":9241043,"1100003":9242043,"1100004":9243043,"1100005":9244043,"1100006":9245043,"1100007":9246043,}							50	90
0	19	2	1	99	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":5,}	互動類	任何地方=>角色被觸碰到身體6	{"1100001":9240044,"1100002":9241044,"1100003":9242044,"1100004":9243044,"1100005":9244044,"1100006":9245044,"1100007":9246044,}							60	90
0	19	3	1	99	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":4,}	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":1,}	互動類	任何地方=>角色被觸碰到手部1	{"1100001":9240051,"1100002":9241051,"1100003":9242051,"1100004":9243051,"1100005":9244051,"1100006":9245051,"1100007":9246051,}							0	90
0	19	3	1	99	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":4,}	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":2,}	互動類	任何地方=>角色被觸碰到手部2	{"1100001":9240052,"1100002":9241052,"1100003":9242052,"1100004":9243052,"1100005":9244052,"1100006":9245052,"1100007":9246052,}							20	90
0	19	3	1	99	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	互動類	任何地方=>角色被觸碰到手部3	{"1100001":9240053,"1100002":9241053,"1100003":9242053,"1100004":9243053,"1100005":9244053,"1100006":9245053,"1100007":9246053,}							30	90
0	19	3	1	99	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":9,"1100002":9,"1100003":9,"1100004":9,"1100005":9,"1100006":9,"1100007":9,}	互動類	任何地方=>角色被觸碰到手部4	{"1100001":9240054,"1100002":9241054,"1100003":9242054,"1100004":9243054,"1100005":9244054,"1100006":9245054,"1100007":9246054,}							40	90
0	19	3	1	99	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":9,}	互動類	任何地方=>角色被觸碰到手部5	{"1100001":9240055,"1100002":9241055,"1100003":9242055,"1100004":9243055,"1100005":9244055,"1100006":9245055,"1100007":9246055,}							50	90
0	19	3	1	99	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":11,}	互動類	任何地方=>角色被觸碰到手部6	{"1100001":9240056,"1100002":9241056,"1100003":9242056,"1100004":9243056,"1100005":9244056,"1100006":9245056,"1100007":9246056,}							60	90
0	19	0	20	99	{"1100001":17,"1100002":17,"1100003":17,"1100004":17,"1100005":17,"1100006":17,"1100007":17,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":5,}	互動類	任何地方=>角色被觸碰達20次	{"1100001":9240057,"1100002":9241057,"1100003":9242057,"1100004":9243057,"1100005":9244057,"1100006":9245057,"1100007":9246057,}							0	90
0	19	0	50	99	{"1100001":18,"1100002":18,"1100003":18,"1100004":18,"1100005":18,"1100006":18,"1100007":18,}	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":9,}	互動類	任何地方=>角色被觸碰達50次	{"1100001":9240058,"1100002":9241058,"1100003":9242058,"1100004":9243058,"1100005":9244058,"1100006":9245058,"1100007":9246058,}							20	90
0	19	0	100	99	{"1100001":17,"1100002":17,"1100003":17,"1100004":17,"1100005":17,"1100006":17,"1100007":17,}	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":5,}	互動類	任何地方=>角色被觸碰達100次	{"1100001":9240059,"1100002":9241059,"1100003":9242059,"1100004":9243059,"1100005":9244059,"1100006":9245059,"1100007":9246059,}							30	90
1	20	2	14	90	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":1,}	互動類	情人節(2/14) 當天登入遊戲時,僅有一次	{"1100001":9240060,"1100002":9241060,"1100003":9242060,"1100004":9243060,"1100005":9244060,"1100006":9245060,"1100007":9246060,}							0	90
1	20	0	0	90	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":2,}	互動類	角色生日登入遊戲時,僅有一次	{"1100001":9240065,"1100002":9241065,"1100003":9242065,"1100004":9243065,"1100005":9244065,"1100006":9245065,"1100007":9246065,}							0	90
1	20	12	25	90	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	互動類	聖誕節當天登入遊戲時,僅有一次	{"1100001":9240070,"1100002":9241070,"1100003":9242070,"1100004":9243070,"1100005":9244070,"1100006":9245070,"1100007":9246070,}							0	90
1	20	3	14	90	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	互動類	白色情人節提醒	{"1100001":9240075,"1100002":9241075,"1100003":9242075,"1100004":9243075,"1100005":9244075,"1100006":9245075,"1100007":9246075,}							0	90
1	20	7	7	90	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	互動類	七夕提醒	{"1100001":9240084,"1100002":9241084,"1100003":9242084,"1100004":9243084,"1100005":9244084,"1100006":9245084,"1100007":9246084,}							0	90
1	20	1	1	90	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	互動類	新年( 1/1 ) 當天登入遊戲時,僅有一次	{"1100001":9240085,"1100002":9241085,"1100003":9242085,"1100004":9243085,"1100005":9244085,"1100006":9245085,"1100007":9246085,}							0	90
1	20	9	27	90	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":2,}	互動類	中秋節提醒	{"1100001":9240086,"1100002":9241086,"1100003":9242086,"1100004":9243086,"1100005":9244086,"1100006":9245086,"1100007":9246086,}							0	90
1	20	10	31	90	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	互動類	萬聖節提醒	{"1100001":9240087,"1100002":9241087,"1100003":9242087,"1100004":9243087,"1100005":9244087,"1100006":9245087,"1100007":9246087,}							0	90
1	21	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	活動訊息類	營運活動設置訊息,會在大廳閒置時出現,還有非特殊日期登入時出現	{"1100001":9240088,"1100002":9241088,"1100003":9242088,"1100004":9243088,"1100005":9244088,"1100006":9245088,"1100007":9246088,}							0	90
1	21	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	活動訊息類	營運活動設置訊息,會在大廳閒置時出現,還有非特殊日期登入時出現	{"1100001":9240089,"1100002":9241089,"1100003":9242089,"1100004":9243089,"1100005":9244089,"1100006":9245089,"1100007":9246089,}							0	90
1	21	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	活動訊息類	營運活動設置訊息,會在大廳閒置時出現,還有非特殊日期登入時出現	{"1100001":9240090,"1100002":9241090,"1100003":9242090,"1100004":9243090,"1100005":9244090,"1100006":9245090,"1100007":9246090,}							0	90
2	23	0	0	0	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":1,}	提示類	拳館=>閒置	{"1100001":9240091,"1100002":9241091,"1100003":9242091,"1100004":9243091,"1100005":9244091,"1100006":9245091,"1100007":9246091,}							0	90
2	23	0	0	0	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":9,}	提示類	拳館=>閒置	{"1100001":9240092,"1100002":9241092,"1100003":9242092,"1100004":9243092,"1100005":9244092,"1100006":9245092,"1100007":9246092,}							0	90
2	23	0	0	0	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":1,}	提示類	拳館=>閒置	{"1100001":9240093,"1100002":9241093,"1100003":9242093,"1100004":9243093,"1100005":9244093,"1100006":9245093,"1100007":9246093,}							0	90
