專屬碼	名稱	lv1成長係數	lv2成長係數	lv3成長係數	lv4成長係數	lv5成長係數	回收價格	販賣價格	說明	裝備等級	套裝編號	ICON編號	MODEL編號	初始品質	初始屬性	隱藏	(舊)品質1插槽格式	(舊)品質2插槽格式	(舊)品質3插槽格式	(舊)品質4插槽格式	(舊)品質5插槽格式	(舊)品質6插槽格式	品質1插槽格式	品質2插槽格式	品質3插槽格式	品質4插槽格式	品質5插槽格式	品質6插槽格式	分類標籤	爆衣ID	出處	顯示稀有度	碎片轉換數	初始星數	附魔次數限制
0103011	9003011	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103011	0		UI_CH00G011	CH00G011	1	[63,70,47,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	["0201009","0201008","0201007","0201007","0201001","0201013"]	["0201010","0201010","0201009","0201008","0201001","0201013"]	["0201011","0201011","0201010","0201003","0201015","0201013"]	[]	0		vdraw	A	30	2	5
0103012	9003012	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103012	0	0601015	UI_CH00G012	CH00G012	1	[15,32,13,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201007","0201007"]	["0201008","0201008","0201007","0201007","0201001","0201013"]	["0201009","0201008","0201001","0201001","0201013","0201013"]	["0201010","0201010","0201015","0201002","0201055","0201055"]	["0201011","0201011","0201010","0201057","0201057","0201049"]	[]	0		none	A	30	2	5
0103013	9003013	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103013	0		UI_CH00G013	CH00G013	1	[18,24,14,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	["0201009","0201008","0201007","0201007","0201001","0201013"]	[]	[]	[]	0		none	C	10	1	0
0103014	9003014	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103014	0		UI_CH00G014	CH00G014	1	[45,33,21,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	[]	[]	0		none	B	20	1	3
0103015	9003015	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103015	0	0601028	UI_CH00G015	CH00G015	1	[48,35,67,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201013","0201013"]	["0201013","0201013","0201007","0201007","0201001","0201001"]	["0201015","0201014","0201001","0201001","0201007","0201007"]	["0201016","0201016","0201009","0201002","0201055","0201055"]	["0201017","0201017","0201004","0201057","0201057","0201049"]	["0201018","0201018","0201059","0201057","0201002","0201001"]	0		v2draw	S	40	2	10
0103016	9003016	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103016	0	0601019	UI_CH00G016	CH00G016	1	[30,22,15,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	[]	[]	0		none	B	20	1	3
0103017	9003017	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103017	0		UI_CH00G017	CH00G017	1	[25,33,57,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	["0201015","0201014","0201013","0201013","0201001","0201007"]	["0201016","0201016","0201015","0201008","0201001","0201001"]	[]	[]	0		none	B	20	1	3
0103018	9003018	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103018	0		UI_CH00G018	CH00G018	1	[67,53,60,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	["0201017","0201017","0201004","0201057","0201057","0201049"]	[]	0		drop	A	30	2	5
0103019	9003019	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103019	0		UI_CH00G019	CH00G019	1	[53,40,27,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	[]	[]	0		none	B	20	1	3
0103020	9003020	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103020	0	0601013	UI_CH00G020	CH00G020	1	[40,34,63,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201013","0201013"]	["0201013","0201013","0201007","0201007","0201001","0201001"]	["0201015","0201014","0201001","0201001","0201007","0201007"]	["0201016","0201016","0201009","0201002","0201055","0201055"]	["0201017","0201017","0201004","0201057","0201057","0201049"]	["0201018","0201018","0201059","0201057","0201002","0201001"]	0		vdraw	S	40	2	10
0103021	9003021	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103021	0		UI_CH00G021	CH00G021	1	[55,59,68,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201013","0201013"]	["0201013","0201013","0201007","0201007","0201001","0201001"]	["0201015","0201014","0201001","0201001","0201007","0201007"]	["0201016","0201016","0201009","0201002","0201055","0201055"]	["0201017","0201017","0201004","0201057","0201057","0201049"]	[]	0		vdraw	A	30	2	5
0103022	9003022	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103022	0	0601016	UI_CH00G022	CH00G022	1	[53,43,37,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201001","0201001"]	["0201002","0201002","0201001","0201001","0201007","0201013"]	["0201003","0201002","0201007","0201007","0201013","0201013"]	["0201004","0201004","0201009","0201014","0201055","0201055"]	["0201005","0201005","0201004","0201057","0201057","0201049"]	["0201006","0201006","0201005","0201015","0201014","0201007"]	0		drop	S	40	2	10
0103051	9003023	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103023	0	0601001	UI_CH00G051	CH00G051	1	[78,40,66,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	["0201005","0201005","0201004","0201015","0201009","0201007"]	["0201006","0201006","0201005","0201015","0201014","0201007"]	0		none	S	40	2	10
0103052	9003024	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103024	0	0601002	UI_CH00G052	CH00G052	1	[55,55,70,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	["0201005","0201005","0201004","0201015","0201009","0201007"]	[]	0		gdraw	A	30	2	5
0103053	9003025	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103025	0	0601003	UI_CH00G053	CH00G053	1	[70,55,55,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	["0201015","0201014","0201013","0201013","0201001","0201007"]	["0201016","0201016","0201015","0201008","0201001","0201001"]	["0201017","0201017","0201016","0201009","0201003","0201007"]	[]	0		none	A	30	2	5
0103054	9003026	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103026	0	0601004	UI_CH00G054	CH00G054	1	[70,53,47,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	["0201017","0201017","0201016","0201009","0201003","0201007"]	[]	0		drop	A	30	2	5
0103055	9003027	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103027	0	0601005	UI_CH00G055	CH00G055	1	[66,47,25,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	[]	[]	0		drop	B	20	1	3
0103056	9003028	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103028	0	0601006	UI_CH00G056	CH00G056	1	[34,73,27,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	["0201009","0201008","0201007","0201007","0201001","0201013"]	["0201010","0201010","0201009","0201008","0201001","0201013"]	["0201011","0201011","0201010","0201003","0201015","0201013"]	["0201054","0201054","0201011","0201009","0201008","0201007"]	0		vdraw	S	40	2	10
0103057	9003029	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103029	0	0601007	UI_CH00G057	CH00G057	1	[72,57,55,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	["0201005","0201005","0201004","0201015","0201009","0201007"]	[]	0		vdraw	A	30	2	5
0103058	9003030	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103030	0	0601008	UI_CH00G058	CH00G058	1	[55,72,55,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	["0201009","0201008","0201007","0201007","0201001","0201013"]	["0201010","0201010","0201009","0201008","0201001","0201013"]	["0201011","0201011","0201010","0201003","0201015","0201013"]	[]	0		drop	A	30	2	5
0103059	9003031	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103031	0	0601009	UI_CH00G059	CH00G059	1	[28,30,50,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	["0201015","0201014","0201013","0201013","0201001","0201007"]	["0201016","0201016","0201015","0201008","0201001","0201001"]	["0201017","0201017","0201016","0201009","0201003","0201007"]	["0201018","0201018","0201017","0201009","0201002","0201001"]	0		none	S	40	2	10
0103060	9003032	[1.8,1.8,1.8,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103032	0	0601010	UI_CH00G060	CH00G060	1	[53,47,66,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	["0201015","0201014","0201013","0201013","0201001","0201007"]	["0201016","0201016","0201015","0201008","0201001","0201001"]	["0201017","0201017","0201016","0201009","0201003","0201007"]	[]	0		drop	A	30	2	5
0103061	9003033	[2.2,2.2,2.2,1,1,1,1,1]	[4,4,4,1,1,1,1,1]	[8,8,8,1,1,1,1,1]	[12,12,12,1,1,1,1,1]	[15,15,15,1,1,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9103033	0	0601011	UI_CH00G061	CH00G061	1	[58,30,45,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201003","0201002","0201001","0201001","0201007","0201013"]	["0201004","0201004","0201009","0201008","0201013","0201013"]	["0201005","0201005","0201004","0201015","0201009","0201007"]	["0201006","0201006","0201005","0201015","0201014","0201007"]	0		none	S	40	2	10
