專屬碼	名稱	限制時間	拳館獲得經驗值	角色獲得經驗值	消耗行動力	失敗消耗行動力	次數限制	獎勵	NPC專屬碼	NPC_AI模式	NPC_難度	是否可重覆	獲得金幣倍率	賽場編號	賽場徽標	拳館等級需求	據點ICON	關卡敘述	NPC爬起次數 	讀秒區間1	讀秒區間2	圖紙	回合時間	勝利條件類型	勝利條件變數	爆衣機率	頭套ID
1002010	9013019	3	6	28	6	1	0	{"1000":{"0511014":{"base":3,"amount":2},"0502503":{"amount":1},"0502504":{"amount":3}}}	2001073	26	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113019	0	0	0	{}	0	0	0	0	
1002020	9013020	3	6	28	6	1	0	{"1000":{"0511014":{"base":3,"amount":2},"0502506":{"amount":1}}}	2001074	26	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113020	0	0	0	{}	0	0	0	0	
1002030	9013021	3	6	28	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511007":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0503008":{"amount":1}}}	2001007	20	3.50	1	1.21	outer_floor_d1	ring_floor_d1	5	stage02map_point_01	9113021	1	3	7	{}	0	0	0	100	0107001
1002040	9013022	3	6	28	6	1	0	{"1000":{"0511008":{"base":3,"amount":2},"0503504":{"amount":1}}}	2001075	27	3.00	0	1.21	outer_floor_d1	ring_floor_d1	5		9113022	0	0	0	{}	0	0	0	0	
1002050	9013023	3	6	28	6	1	0	{"1000":{"0511008":{"base":3,"amount":2},"0503506":{"amount":1}}}	2001076	27	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113023	0	0	0	{}	0	0	0	0	
1002060	9013024	3	6	28	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511019":{"base":5,"amount":3},"0511025":{"base":3,"amount":2},"0505001":{"amount":1},"0505002":{"amount":1}}}	2001008	21	4.00	1	1.23	outer_floor_d1	ring_floor_d1	5	stage01map_point_05	9113024	1	3	7	{}	0	0	0	100	0107002
1002070	9013025	3	6	28	6	1	0	{"1000":{"0511015":{"base":3,"amount":2},"0505006":{"amount":1}}}	2001077	28	3.00	0	1.23	outer_floor_d1	ring_floor_d1	5		9113025	0	0	0	{}	0	0	0	0	
1002080	9013026	3	6	28	6	1	0	{"1000":{"0511015":{"base":3,"amount":2},"0505007":{"amount":1},"0505008":{"amount":1}}}	2001078	28	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113026	0	0	0	{}	0	0	0	0	
1002090	9013027	3	6	28	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511007":{"base":5,"amount":3},"0511013":{"base":3,"amount":2},"0505013":{"amount":1}}}	2001009	22	4.00	1	1.25	outer_floor_d1	ring_floor_d1	5	stage02map_point_03	9113027	1	3	7	{}	0	0	0	100	0107003
1002100	9013028	3	6	29	6	1	0	{"1000":{"0511020":{"base":3,"amount":2},"0505507":{"amount":1}}}	2001079	29	3.00	0	1.25	outer_floor_d1	ring_floor_d1	5		9113028	0	0	0	{}	0	0	0	0	
1002110	9013029	3	6	29	6	1	0	{"1000":{"0511020":{"base":3,"amount":2},"0505508":{"amount":1}}}	2001080	29	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113029	0	0	0	{}	0	0	0	0	
1002120	9013030	3	6	29	6	1	0	{"150":{"0202013":{"amount":1}},"1000":{"0511025":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0510001":{"amount":1}}}	2001010	23	4.00	1	1.27	outer_floor_d1	ring_floor_d1	5	stage02map_point_04	9113030	1	3	7	{}	0	0	0	100	0107001
1002130	9013031	3	6	29	6	1	0	{"1000":{"0511026":{"base":3,"amount":2},"0510006":{"amount":1}}}	2001081	30	3.00	0	1.27	outer_floor_d1	ring_floor_d1	5		9113031	0	0	0	{}	0	0	0	0	
1002140	9013032	3	6	29	6	1	0	{"1000":{"0511026":{"base":3,"amount":2},"0510007":{"amount":1},"0510008":{"amount":1}}}	2001082	30	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113032	0	0	0	{}	0	0	0	0	
1002150	9013033	3	6	29	6	1	0	{"150":{"0202006":{"amount":1}},"1000":{"0511001":{"base":5,"amount":3},"0511013":{"base":3,"amount":2},"0510009":{"amount":1}}}	2001011	24	4.00	1	1.29	outer_floor_d1	ring_floor_d1	5	stage02map_point_05	9113033	1	3	7	{}	0	0	0	100	0107002
1002160	9013034	3	6	29	6	1	0	{"1000":{"0511002":{"base":3,"amount":2},"0510013":{"amount":1},"0510014":{"amount":1}}}	2001083	31	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113034	0	0	0	{}	0	0	0	0	
1002170	9013035	3	6	29	6	1	0	{"1000":{"0511002":{"base":3,"amount":2},"0510015":{"amount":2}}}	2001084	31	3.00	0	1.01	outer_floor_d1	ring_floor_d1	5		9113035	0	0	0	{}	0	0	0	0	
1002180	9013036	3	6	29	6	1	0	{"150":{"02020063":{"amount":1}},"1000":{"0511013":{"base":5,"amount":3},"0511001":{"base":3,"amount":2},"0510016":{"amount":1}}}	2001012	25	4.00	1	1.29	outer_floor_d1	ring_floor_d1	5	stage02map_point_06	9113036	1	3	7	{"200":{"5002040":{"base":1,"amount":1}},"400":{"5003501":{"base":1,"amount":1}},"600":{"5005502":{"base":1,"amount":1}}}	0	0	0	100	0107003
1003010	9013037	3	6	30	6	1	0	{"1000":{"0511026":{"base":3,"amount":2},"0510021":{"amount":1}}}	2001085	44	3.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113037	0	0	0	{}	0	0	0	0	
1003020	9013038	3	6	30	6	1	0	{"1000":{"0511026":{"base":3,"amount":2},"0510022":{"amount":1}}}	2001086	44	3.50	0	1.01	outer_floor_d2	ring_floor_d2	8		9113038	0	0	0	{}	0	0	0	0	
1003030	9013039	3	6	30	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511025":{"base":5,"amount":3},"0511001":{"base":3,"amount":2},"0510023":{"amount":1},"0510024":{"amount":1}}}	2001013	38	3.00	1	1.30	outer_floor_d2	ring_floor_d2	8	stage03map_point_01	9113039	2	3	7	{}	0	0	0	100	0107001
1003040	9013040	3	6	30	6	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0501013":{"amount":1},"0501015":{"amount":1}}}	2001087	45	3.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113040	1	2	8	{}	0	0	0	0	
1003050	9013041	3	6	30	6	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0501016":{"amount":1}}}	2001088	45	3.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113041	1	2	8	{}	0	0	0	0	
1003060	9013042	3	6	30	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511020":{"base":5,"amount":3},"0511013":{"base":3,"amount":2},"0501024":{"amount":1}}}	2001014	39	4.00	1	1.31	outer_floor_d2	ring_floor_d2	8	stage03map_point_02	9113042	0	0	0	{}	0	0	0	100	0107002
1003070	9013043	3	6	31	6	1	0	{"1000":{"0511019":{"base":3,"amount":2},"0501042":{"amount":1}}}	2001089	46	3.00	0	1.31	outer_floor_d2	ring_floor_d2	8		9113043	1	2	8	{}	0	0	0	0	
1003080	9013044	3	6	31	6	1	0	{"1000":{"0511019":{"base":3,"amount":2},"0501045":{"amount":1}}}	2001090	46	4.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113044	1	2	8	{}	0	0	0	0	
1003090	9013045	3	6	31	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511001":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0501050":{"amount":1}}}	2001015	40	4.00	1	1.33	outer_floor_d2	ring_floor_d2	8	stage03map_point_03	9113045	1	3	7	{}	0	0	0	100	0107003
1003100	9013046	3	6	31	6	1	0	{"1000":{"0511013":{"base":3,"amount":2},"0502032":{"amount":1}}}	2001091	47	3.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113046	1	2	8	{}	0	0	0	0	
1003110	9013047	3	6	31	6	1	0	{"1000":{"0511013":{"base":3,"amount":2},"0502033":{"amount":1},"0502034":{"amount":1}}}	2001092	47	3.00	0	1.35	outer_floor_d2	ring_floor_d2	8		9113047	1	2	8	{}	0	0	0	0	
1003120	9013048	3	6	31	6	1	0	{"150":{"0202013":{"amount":1}},"1000":{"0511007":{"base":5,"amount":3},"0511001":{"base":3,"amount":2},"0502037":{"amount":1}}}	2001016	41	3.50	1	1.35	outer_floor_d2	ring_floor_d2	8	stage03map_point_04	9113048	2	3	7	{}	0	0	0	100	0107001
1003130	9013049	3	6	31	6	1	0	{"1000":{"0511007":{"base":3,"amount":2},"0502044":{"amount":1}}}	2001093	48	3.00	0	1.33	outer_floor_d2	ring_floor_d2	8		9113049	1	2	8	{}	0	0	0	0	
1003140	9013050	3	6	31	6	1	0	{"1000":{"0511007":{"base":3,"amount":2},"0502049":{"amount":1}}}	2001094	48	3.00	0	1.37	outer_floor_d2	ring_floor_d2	8		9113050	1	2	8	{}	0	0	0	0	
1003150	9013051	3	6	31	6	1	0	{"150":{"0202013":{"amount":1}},"1000":{"0511019":{"base":5,"amount":3},"0511013":{"base":3,"amount":2},"0502055":{"amount":1}}}	2001017	42	3.00	1	1.37	outer_floor_d2	ring_floor_d2	8	stage02map_point_03	9113051	2	3	7	{}	0	0	0	100	0107002
1003160	9013052	3	6	32	6	1	0	{"1000":{"0511025":{"base":3,"amount":2},"0503016":{"amount":1}}}	2001095	49	3.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113052	1	2	8	{}	0	0	0	0	
1003170	9013053	3	6	32	6	1	0	{"1000":{"0511025":{"base":3,"amount":2},"0503017":{"amount":1}}}	2001096	49	3.00	0	1.01	outer_floor_d2	ring_floor_d2	8		9113053	1	2	8	{}	0	0	0	0	
1003180	9013054	3	6	32	6	1	0	{"150":{"0202009":{"amount":2}},"1000":{"0511014":{"base":5,"amount":3},"0511002":{"base":3,"amount":2},"0503019":{"amount":1},"0503055":{"amount":1}}}	2001018	43	4.50	1	1.39	outer_floor_d2	ring_floor_d2	8	stage03map_point_05	9113054	2	3	7	{}	0	0	0	100	0107003
1004010	9013055	3	8	33	8	1	0	{"1000":{"0511003":{"base":3,"amount":2},"0503660":{"amount":6},"0504004":{"amount":1}}}	2001097	62	3.00	0	1.01	outer_floor_d3	ring_floor_d3	18		9113055	1	2	8	{}	0	0	0	0	
1004020	9013056	3	8	33	8	1	0	{"1000":{"0511003":{"base":3,"amount":2},"0505009":{"amount":1}}}	2001098	62	3.00	0	1.01	outer_floor_d3	ring_floor_d3	18		9113056	1	2	8	{}	0	0	0	0	
1004030	9013057	3	8	33	8	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511014":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0505014":{"amount":1}}}	2001019	56	4.50	1	1.40	outer_floor_d3	ring_floor_d3	18	stage04map_point_01	9113057	2	3	7	{}	0	0	0	100	0107001
1004040	9013058	3	8	33	8	1	0	{"1000":{"0511015":{"base":3,"amount":2},"0505104":{"amount":1}}}	2001099	63	3.50	0	1.41	outer_floor_d3	ring_floor_d3	18		9113058	1	2	8	{}	0	0	0	0	
1004050	9013059	3	8	33	8	1	0	{"1000":{"0511015":{"base":3,"amount":2},"0505105":{"amount":1}}}	2001100	63	3.50	0	1.43	outer_floor_d3	ring_floor_d3	18		9113059	1	2	8	{}	0	0	0	0	
1004060	9013060	3	8	33	8	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511002":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0505106":{"amount":1}}}	2001020	57	4.00	1	1.43	outer_floor_d3	ring_floor_d3	18	stage04map_point_01	9113060	2	3	7	{}	0	0	0	100	0107002
1004070	9013061	3	8	34	8	1	0	{"1000":{"0511009":{"base":3,"amount":2},"0505509":{"amount":1}}}	2001101	64	3.50	0	1.45	outer_floor_d3	ring_floor_d3	18		9113061	1	2	8	{}	0	0	0	0	
1004080	9013062	3	8	34	8	1	0	{"1000":{"0511009":{"base":3,"amount":2},"0505654":{"amount":6},"0505660":{"amount":6}}}	2001102	64	2.50	0	1.45	outer_floor_d3	ring_floor_d3	18		9113062	1	2	8	{}	0	0	0	0	
1004090	9013063	3	8	34	8	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511008":{"base":5,"amount":3},"0511002":{"base":3,"amount":2},"0506002":{"amount":1}}}	2001021	58	3.50	1	1.47	outer_floor_d3	ring_floor_d3	18	stage04map_point_01	9113063	2	3	7	{}	0	0	0	100	0107003
1004100	9013064	3	8	34	8	1	0	{"1000":{"0511014":{"base":3,"amount":2},"0501010":{"amount":1}}}	2001103	65	2.50	0	1.47	outer_floor_d3	ring_floor_d3	18		9113064	1	2	8	{}	0	0	0	0	
1004110	9013065	3	8	34	8	1	0	{"1000":{"0511019":{"base":3,"amount":2},"0501018":{"amount":1}}}	2001104	65	2.50	0	1.01	outer_floor_d3	ring_floor_d3	18		9113065	1	2	8	{}	0	0	0	0	
1004120	9013066	3	8	34	8	1	0	{"150":{"020208":{"amount":1}},"1000":{"0511008":{"base":5,"amount":3},"0511002":{"base":3,"amount":2},"0501019":{"amount":1}}}	2001022	59	4.00	1	1.01	outer_floor_d3	ring_floor_d3	18	stage04map_point_01	9113066	2	3	7	{}	0	0	0	100	0107001
1004130	9013067	3	8	34	8	1	0	{"1000":{"0511014":{"base":3,"amount":2},"0501033":{"amount":1}}}	2001105	66	3.00	0	1.01	outer_floor_d3	ring_floor_d3	18		9113067	1	2	8	{}	0	0	0	0	
1004140	9013068	3	8	34	8	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0501041":{"amount":1}}}	2001106	66	2.00	0	1.01	outer_floor_d3	ring_floor_d3	18		9113068	1	2	8	{}	0	0	0	0	
1004150	9013069	3	8	34	8	1	0	{"150":{"020208":{"amount":1}},"1000":{"0511020":{"base":5,"amount":3},"0511002":{"base":3,"amount":2},"0501043":{"amount":1},"0501048":{"amount":1}}}	2001023	60	4.00	1	1.01	outer_floor_d3	ring_floor_d3	18	stage04map_point_01	9113069	2	3	7	{}	0	0	0	100	0107002
1004160	9013070	3	8	35	8	1	0	{"1000":{"0511013":{"base":3,"amount":2},"0501060":{"amount":3},"0501661":{"amount":3}}}	2001107	67	3.00	0	1.01	outer_floor_d3	ring_floor_d3	18		9113070	1	2	8	{}	0	0	0	0	
1004170	9013071	3	8	35	8	1	0	{"1000":{"0511013":{"base":3,"amount":2},"0502025":{"amount":1}}}	2001108	67	3.00	0	1.01	outer_floor_d3	ring_floor_d3	18		9113071	1	2	8	{}	0	0	0	0	
1004180	9013072	3	8	35	8	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511026":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0502028":{"amount":1}}}	2001024	61	4.50	1	1.49	outer_floor_d3	ring_floor_d3	18	stage04map_point_01	9113072	2	3	7	{}	0	0	0	100	0107003
1005010	9013073	3	12	36	12	2	0	{"1000":{"0511019":{"base":3,"amount":2},"0502046":{"amount":1}}}	2001109	80	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113073	1	2	8	{}	0	0	0	0	
1005020	9013074	3	12	36	12	2	0	{"1000":{"0511001":{"base":3,"amount":2},"0502052":{"amount":3}}}	2001110	80	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113074	1	2	8	{}	0	0	0	0	
1005030	9013075	3	12	36	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511008":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0502053":{"amount":3}}}	2001025	74	4.00	1	1.50	outer_floor_d4	ring_floor_d4	26	stage05map_point_01	9113075	2	3	7	{}	0	0	0	100	0107001
1005040	9013076	3	12	36	12	2	0	{"1000":{"0511001":{"base":3,"amount":2},"0502064":{"amount":3}}}	2001111	81	3.00	0	1.55	outer_floor_d4	ring_floor_d4	26		9113076	1	2	8	{}	0	0	0	0	
1005050	9013077	3	12	36	12	2	0	{"1000":{"0511009":{"base":3,"amount":2},"0502065":{"amount":3},"0502066":{"amount":6}}}	2001112	81	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113077	1	2	8	{}	0	0	0	0	
1005060	9013078	3	12	36	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511020":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0502078":{"amount":6}}}	2001026	135	4.00	1	1.59	outer_floor_d4	ring_floor_d4	26	stage05map_point_02	9113078	2	3	7	{}	0	0	0	100	0107002
1005070	9013079	3	12	37	12	2	0	{"1000":{"0511014":{"base":3,"amount":2},"0502675":{"amount":3}}}	2001113	82	3.00	0	1.63	outer_floor_d4	ring_floor_d4	26		9113079	1	2	8	{}	0	0	0	0	
1005080	9013080	3	12	37	12	2	0	{"1000":{"0511002":{"base":3,"amount":2},"0502697":{"amount":3}}}	2001114	82	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113080	1	2	8	{}	0	0	0	0	
1005090	9013081	3	12	37	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511026":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0502805":{"amount":3}}}	2001027	76	4.00	1	1.65	outer_floor_d4	ring_floor_d4	26	stage05map_point_02	9113081	2	3	7	{}	0	0	0	100	0107003
1005100	9013082	3	12	37	12	2	0	{"1000":{"0511001":{"base":3,"amount":2},"0503021":{"amount":3}}}	2001115	83	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113082	1	2	8	{}	0	0	0	0	
1005110	9013083	3	12	37	12	2	0	{"1000":{"0511008":{"base":3,"amount":2},"0503052":{"amount":3}}}	2001116	83	3.00	0	1.67	outer_floor_d4	ring_floor_d4	26		9113083	1	2	8	{}	0	0	0	0	
1005120	9013084	3	12	37	12	2	0	{"150":{"020208":{"amount":1}},"1000":{"0511002":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0503053":{"amount":3},"0503054":{"amount":1}}}	2001028	77	4.00	1	1.69	outer_floor_d4	ring_floor_d4	26	stage05map_point_03	9113084	2	3	7	{}	0	0	0	100	0107001
1005130	9013085	3	12	37	12	2	0	{"1000":{"0511003":{"base":3,"amount":2},"0503063":{"amount":6},"0503068":{"amount":6}}}	2001117	84	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113085	1	2	8	{}	0	0	0	0	
1005140	9013086	3	12	37	12	2	0	{"1000":{"0511003":{"base":3,"amount":2},"0503069":{"amount":6}}}	2001118	84	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113086	1	2	8	{}	0	0	0	0	
1005150	9013087	3	12	37	12	2	0	{"150":{"020208":{"amount":1}},"1000":{"0511014":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0503075":{"amount":3}}}	2001029	78	4.00	1	1.01	outer_floor_d4	ring_floor_d4	26	stage05map_point_04	9113087	2	3	7	{}	0	0	0	100	0107002
1005160	9013088	3	12	38	12	2	0	{"1000":{"0511026":{"base":3,"amount":2},"0503680":{"amount":3}}}	2001119	85	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113088	1	2	8	{}	0	0	0	0	
1005170	9013089	3	12	38	12	2	0	{"1000":{"0511014":{"base":3,"amount":2},"0503688":{"amount":3}}}	2001120	85	3.00	0	1.01	outer_floor_d4	ring_floor_d4	26		9113089	1	2	8	{}	0	0	0	0	
1005180	9013090	3	12	38	12	2	0	{"150":{"020208":{"amount":1}},"1000":{"0511008":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0504005":{"amount":3},"0505010":{"amount":1}}}	2001030	79	4.00	1	1.73	outer_floor_d4	ring_floor_d4	26	stage05map_point_05	9113090	2	3	7	{}	0	0	0	100	0107003
1006010	9013091	3	12	39	12	2	0	{"1000":{"0511005":{"base":3,"amount":2},"0505052":{"amount":3}}}	2001121	98	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113091	1	2	8	{}	0	0	0	0	
1006020	9013092	3	12	39	12	2	0	{"1000":{"0511008":{"base":3,"amount":2},"0505053":{"amount":3},"0505054":{"amount":1}}}	2001122	98	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113092	1	2	8	{}	0	0	0	0	
1006030	9013093	3	12	39	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511008":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0505057":{"amount":3}}}	2001031	92	4.00	1	1.75	outer_floor_d5	ring_floor_d5	40	stage06map_point_01	9113093	2	3	7	{}	0	0	0	100	0107001
1006040	9013094	3	12	39	12	2	0	{"1000":{"0511007":{"base":3,"amount":2},"0505071":{"amount":6}}}	2001123	99	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113094	1	2	8	{}	0	0	0	0	
1006050	9013095	3	12	39	12	2	0	{"1000":{"0511008":{"base":3,"amount":2},"0505077":{"amount":3}}}	2001124	99	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113095	1	2	8	{}	0	0	0	0	
1006060	9013096	3	12	39	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511020":{"base":5,"amount":3},"0511008":{"base":3,"amount":2},"0505080":{"amount":3}}}	2001032	93	4.00	1	1.77	outer_floor_d5	ring_floor_d5	40	stage06map_point_02	9113096	2	3	7	{}	0	0	0	100	0107002
1006070	9013097	3	12	40	12	2	0	{"1000":{"0511001":{"base":3,"amount":2},"0505682":{"amount":3}}}	2001125	100	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113097	1	2	8	{}	0	0	0	0	
1006080	9013098	3	12	40	12	2	0	{"1000":{"0511003":{"base":3,"amount":2},"0505690":{"amount":3},"0506001":{"amount":3}}}	2001126	100	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113098	1	2	8	{}	0	0	0	0	
1006090	9013099	3	12	40	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511026":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0506052":{"amount":3}}}	2001033	94	4.00	1	1.79	outer_floor_d5	ring_floor_d5	40	stage06map_point_01	9113099	2	3	7	{}	0	0	0	100	0107003
1006100	9013100	3	12	40	12	2	0	{"1000":{"0511007":{"base":3,"amount":2},"0506058":{"amount":1},"0506060":{"amount":1}}}	2001127	101	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113100	1	2	8	{}	0	0	0	0	
