模組碼	等級	需求訓練點數	需求金額(遊戲幣)
2	50	4	29000
2	51	4	30000
2	52	4	31000
2	53	4	32000
2	54	4	33000
2	55	4	34000
2	56	4	35000
2	57	4	36000
2	58	4	37000
2	59	4	38000
2	60	4	39000
2	61	5	40000
2	62	5	45000
2	63	5	50000
2	64	5	55000
2	65	5	60000
2	66	5	65000
2	67	5	70000
2	68	5	75000
2	69	5	80000
2	70	5	85000
2	71	5	90000
2	72	5	95000
2	73	5	100000
2	74	5	105000
2	75	5	110000
2	76	5	115000
2	77	5	120000
2	78	5	125000
2	79	5	130000
2	80	5	135000
2	81	6	140000
2	82	6	145000
2	83	6	150000
2	84	6	155000
2	85	6	160000
2	86	6	165000
2	87	6	170000
2	88	6	175000
2	89	6	180000
2	90	6	185000
2	91	7	190000
2	92	7	195000
2	93	7	200000
2	94	7	205000
2	95	7	210000
2	96	7	215000
2	97	7	220000
2	98	7	225000
2	99	7	230000
3	1	1	100
3	2	1	500
3	3	1	1000
3	4	1	1500
3	5	1	2000
3	6	1	2500
3	7	1	3000
3	8	1	3500
3	9	1	4000
3	10	1	4500
3	11	2	5000
3	12	2	5500
3	13	2	6000
3	14	2	6500
3	15	2	7000
3	16	2	7500
3	17	2	8000
3	18	2	8500
3	19	2	9000
3	20	2	9500
3	21	2	10000
3	22	2	10500
3	23	2	11000
3	24	2	11500
3	25	2	12000
3	26	3	12500
3	27	3	13000
3	28	3	13500
3	29	3	14000
3	30	3	14500
3	31	3	15000
3	32	3	15500
3	33	3	16000
3	34	3	16500
3	35	3	17000
3	36	3	17500
3	37	3	18000
3	38	3	18500
3	39	3	19000
3	40	3	19500
3	41	4	20000
3	42	4	21000
3	43	4	22000
3	44	4	23000
3	45	4	24000
3	46	4	25000
3	47	4	26000
3	48	4	27000
3	49	4	28000
3	50	4	29000
3	51	4	30000
3	52	4	31000
3	53	4	32000
3	54	4	33000
3	55	4	34000
3	56	4	35000
3	57	4	36000
3	58	4	37000
3	59	4	38000
3	60	4	39000
3	61	5	40000
3	62	5	45000
3	63	5	50000
3	64	5	55000
3	65	5	60000
3	66	5	65000
3	67	5	70000
3	68	5	75000
3	69	5	80000
3	70	5	85000
3	71	5	90000
3	72	5	95000
3	73	5	100000
3	74	5	105000
3	75	5	110000
3	76	5	115000
3	77	5	120000
3	78	5	125000
3	79	5	130000
3	80	5	135000
3	81	6	140000
3	82	6	145000
3	83	6	150000
3	84	6	155000
3	85	6	160000
3	86	6	165000
3	87	6	170000
3	88	6	175000
3	89	6	180000
3	90	6	185000
3	91	7	190000
3	92	7	195000
3	93	7	200000
3	94	7	205000
3	95	7	210000
3	96	7	215000
3	97	7	220000
3	98	7	225000
3	99	7	230000
4	1	1	100
4	2	1	500
4	3	1	1000
4	4	1	1500
4	5	1	2000
4	6	1	2500
4	7	1	3000
4	8	1	3500
4	9	1	4000
4	10	1	4500
4	11	2	5000
4	12	2	5500
4	13	2	6000
4	14	2	6500
4	15	2	7000
4	16	2	7500
4	17	2	8000
4	18	2	8500
4	19	2	9000
4	20	2	9500
4	21	2	10000
4	22	2	10500
4	23	2	11000
4	24	2	11500
4	25	2	12000
4	26	3	12500
4	27	3	13000
4	28	3	13500
4	29	3	14000
4	30	3	14500
4	31	3	15000
4	32	3	15500
4	33	3	16000
4	34	3	16500
4	35	3	17000
4	36	3	17500
4	37	3	18000
4	38	3	18500
4	39	3	19000
4	40	3	19500
4	41	4	20000
4	42	4	21000
4	43	4	22000
4	44	4	23000
4	45	4	24000
4	46	4	25000
4	47	4	26000
4	48	4	27000
4	49	4	28000
4	50	4	29000
4	51	4	30000
4	52	4	31000
4	53	4	32000
4	54	4	33000
4	55	4	34000
4	56	4	35000
4	57	4	36000
4	58	4	37000
4	59	4	38000
4	60	4	39000
4	61	5	40000
4	62	5	45000
4	63	5	50000
4	64	5	55000
4	65	5	60000
4	66	5	65000
4	67	5	70000
4	68	5	75000
4	69	5	80000
4	70	5	85000
4	71	5	90000
4	72	5	95000
4	73	5	100000
4	74	5	105000
4	75	5	110000
4	76	5	115000
4	77	5	120000
4	78	5	125000
4	79	5	130000
4	80	5	135000
4	81	6	140000
4	82	6	145000
4	83	6	150000
4	84	6	155000
4	85	6	160000
4	86	6	165000
4	87	6	170000
4	88	6	175000
4	89	6	180000
4	90	6	185000
4	91	7	190000
4	92	7	195000
4	93	7	200000
4	94	7	205000
4	95	7	210000
4	96	7	215000
4	97	7	220000
4	98	7	225000
4	99	7	230000
5	1	1	100
5	2	1	500
5	3	1	1000
5	4	1	1500
5	5	1	2000
5	6	1	2500
5	7	1	3000
5	8	1	3500
5	9	1	4000
5	10	1	4500
5	11	2	5000
5	12	2	5500
5	13	2	6000
5	14	2	6500
5	15	2	7000
5	16	2	7500
5	17	2	8000
5	18	2	8500
5	19	2	9000
5	20	2	9500
5	21	2	10000
5	22	2	10500
5	23	2	11000
5	24	2	11500
5	25	2	12000
5	26	3	12500
5	27	3	13000
5	28	3	13500
5	29	3	14000
5	30	3	14500
5	31	3	15000
5	32	3	15500
5	33	3	16000
5	34	3	16500
5	35	3	17000
5	36	3	17500
5	37	3	18000
5	38	3	18500
5	39	3	19000
5	40	3	19500
5	41	4	20000
5	42	4	21000
5	43	4	22000
5	44	4	23000
5	45	4	24000
5	46	4	25000
5	47	4	26000
5	48	4	27000
5	49	4	28000
5	50	4	29000
5	51	4	30000
5	52	4	31000
5	53	4	32000
5	54	4	33000
5	55	4	34000
5	56	4	35000
5	57	4	36000
5	58	4	37000
5	59	4	38000
5	60	4	39000
5	61	5	40000
5	62	5	45000
5	63	5	50000
5	64	5	55000
5	65	5	60000
5	66	5	65000
5	67	5	70000
5	68	5	75000
5	69	5	80000
5	70	5	85000
5	71	5	90000
5	72	5	95000
5	73	5	100000
5	74	5	105000
5	75	5	110000
5	76	5	115000
5	77	5	120000
5	78	5	125000
5	79	5	130000
5	80	5	135000
5	81	6	140000
5	82	6	145000
5	83	6	150000
5	84	6	155000
5	85	6	160000
5	86	6	165000
5	87	6	170000
5	88	6	175000
5	89	6	180000
5	90	6	185000
5	91	7	190000
5	92	7	195000
5	93	7	200000
5	94	7	205000
5	95	7	210000
5	96	7	215000
5	97	7	220000
5	98	7	225000
5	99	7	230000
