專屬碼	名稱	說明	效果	販售價個	回收價格	ICON編號	裝備初始品質	出處	附魔
0201025	9007025	9107025	{"6":{"5":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_025	1	gdraw	[]
0201026	9007026	9107026	{"6":{"5":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_026	2	gdraw	[]
0201027	9007027	9107027	{"6":{"5":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_027	3	gdraw	[]
0201028	9007028	9107028	{"6":{"5":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_028	4	gdraw	[]
0201029	9007029	9107029	{"6":{"5":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_029	5	vdraw	[]
0201030	9007030	9107030	{"6":{"5":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_030	6	vdraw	[]
0201031	9007031	9107031	{"6":{"6":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_031	1	gdraw	[]
0201032	9007032	9107032	{"6":{"6":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_032	2	gdraw	[]
0201033	9007033	9107033	{"6":{"6":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_033	3	gdraw	[]
0201034	9007034	9107034	{"6":{"6":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_034	4	gdraw	[]
0201035	9007035	9107035	{"6":{"6":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_035	5	vdraw	[]
0201036	9007036	9107036	{"6":{"6":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_036	6	vdraw	[]
0201037	9007037	9107031	{"6":{"7":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_037	1	gdraw	[]
0201038	9007038	9107032	{"6":{"7":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_038	2	gdraw	[]
0201039	9007039	9107033	{"6":{"7":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_039	3	gdraw	[]
0201040	9007040	9107034	{"6":{"7":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_040	4	gdraw	[]
0201041	9007041	9107035	{"6":{"7":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_041	5	vdraw	[]
0201042	9007042	9107036	{"6":{"7":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_042	6	vdraw	[]
0201043	9007043	9107031	{"6":{"8":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_043	1	gdraw	[]
0201044	9007044	9107032	{"6":{"8":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_044	2	gdraw	[]
0201045	9007045	9107033	{"6":{"8":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_045	3	gdraw	[]
0201046	9007046	9107034	{"6":{"8":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_046	4	gdraw	[]
0201047	9007047	9107035	{"6":{"8":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_047	5	vdraw	[]
0201048	9007048	9107036	{"6":{"8":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_048	6	vdraw	[]
0201049	9007049	9107037	{"6":{"23":5}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_049	1	gdraw	[]
0201050	9007050	9107038	{"6":{"23":10}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_050	2	gdraw	[]
0201051	9007051	9107039	{"6":{"23":20}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_051	3	gdraw	[]
0201052	9007052	9107040	{"6":{"23":30}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_052	4	gdraw	[]
0201053	9007053	9107041	{"6":{"23":40}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_053	5	vdraw	[]
0201054	9007054	9107042	{"6":{"23":60}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_054	6	vdraw	[]
0201055	9007055	9107043	{"6":{"21":5}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_055	1	gdraw	[]
0201056	9007056	9107044	{"6":{"21":10}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_056	2	gdraw	[]
0201057	9007057	9107045	{"6":{"21":20}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_057	3	gdraw	[]
0201058	9007058	9107046	{"6":{"21":30}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_058	4	gdraw	[]
0201059	9007059	9107047	{"6":{"21":40}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_059	5	vdraw	[]
0201060	9007060	9107048	{"6":{"21":60}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_060	6	vdraw	[]
0201061	9007061	9107049	{"6":{"22":50}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_061	1	gdraw	[]
0201062	9007062	9107050	{"6":{"22":100}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_062	2	gdraw	[]
0201063	9007063	9107051	{"6":{"22":200}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_063	3	gdraw	[]
0201064	9007064	9107052	{"6":{"22":300}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_064	4	gdraw	[]
0201065	9007065	9107053	{"6":{"22":500}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_065	5	vdraw	[]
0201066	9007066	9107054	{"6":{"22":800}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_066	6	vdraw	[]
0201901	9007901	9107901	{}	{}	1200	UI_ItemPart_067	2	act	[[1,2,3,4,5,21,22,23]]
0201902	9007902	9107902	{}	{}	3200	UI_ItemPart_068	3	act	[[1,2,3,4,5,21,22,23],[1,2,3,4,5,21,22,23]]
0201903	9007903	9107903	{}	{}	7200	UI_ItemPart_069	4	act	[[1,2,3,4,5,21,22,23],[1,2,3,4,5,21,22,23],[1,2,3,4,5,21,22,23]]
0201904	9007904	9107904	{}	{}	12800	UI_ItemPart_070	5	act	[[1,2,3,4,5,21,22,23],[1,2,3,4,5,21,22,23],[1,2,3,4,5,21,22,23],[1,2,3,4,5,21,22,23]]
0202001	9008001	9108001	{"1":50000}	{}	4000	UI_ItemUse_001	3	act	[]
0202002	9008002	9108002	{"1":10000}	{}	1200	UI_ItemUse_002	2	act	[]
0202003	9008003	9108003	{"1":1000}	{}	400	UI_ItemUse_003	0	act	[]
0202004	9008004	9108004	{"2":1500}	{"1":10000,"3":160,"4":120}	4000	UI_ItemUse_004	3	drop	[]
0202005	9008005	9108005	{"2":300}	{"1":3000,"3":40,"4":30}	1200	UI_ItemUse_005	2	drop	[]
0202006	9008006	9108006	{"2":60}	{"1":1000,"3":10,"4":10}	400	UI_ItemUse_006	0	drop	[]
0202007	9008007	9108007	{"3":10000}	{"1":10000}	10000	UI_ItemUse_007	3	drop	[]
0202008	9008008	9108008	{"3":3000}	{"1":3000}	3000	UI_ItemUse_008	2	drop	[]
0202009	9008009	9108009	{"3":500}	{"1":500}	500	UI_ItemUse_009	0	drop	[]
0202010	9008010	9108010	{"8":0}	{"1":15000}	0	UI_ItemUse_010	0	drop	[]
0202011	9008011	9108011	{"5":60}	{"2":150}	0	UI_ItemUse_011	3	act	[]
0202012	9008012	9108012	{"4":100}	{}	0	UI_ItemUse_012	5	act	[]
0202013	9008013	9108013	{"13":0}	{}	0	Moon_card01	6	act	[]
0202014	9008014	9108014	{"14":0}	{}	0	weekcard01	6	act	[]
0202015	9008015	9108015	{"10":50}	{}	0	Skill_point	4	act	[]
0202016	9008016	9108016	{"12":0}	{}	0	Gacha01	6	act	[]
5003501	9058001	9158001	{"7":{"id":"0103501","slot":["5003501","0103003","0201001","0201002","0201002","0201002"],"gcoin":1500}}	{}	600	UI_CH00G501	99	drop	[]
5003502	9058002	9158001	{"7":{"id":"0103502","slot":["5003502","0103013","0201008","0201008","0201009","0201009"],"gcoin":3000}}	{}	800	UI_CH00G502	99	drop	[]
5003503	9058003	9158001	{"7":{"id":"0103503","slot":["5003503","0103002","0201013","0201013","0201014","0201014"],"gcoin":1500}}	{}	600	UI_CH00G503	99	drop	[]
5003504	9058004	9158001	{"7":{"id":"0103504","slot":["5003504","0103004","0201007","0201007","0201008","0201008"],"gcoin":1500}}	{}	600	UI_CH00G504	99	drop	[]
5003505	9058005	9158001	{"7":{"id":"0103505","slot":["5003505","0103005","0201014","0201014","0201015","0201015"],"gcoin":3000}}	{}	800	UI_CH00G505	99	drop	[]
5003506	9058006	9158001	{"7":{"id":"0103506","slot":["5003506","0103001","0201007","0201007","0201008","0201008"],"gcoin":1500}}	{}	600	UI_CH00G506	99	drop	[]
5003507	9058007	9158001	{"7":{"id":"0103507","slot":["5003507","0103016","0201009","0201009","0201009","0201010"],"gcoin":6000}}	{}	1000	UI_CH00G507	99	drop	[]
5005501	9058008	9158001	{"7":{"id":"0105501","slot":["5005501","0105006","0201019","0201019","0201020","0201020"],"gcoin":1500}}	{}	600	UI_CH00S501	99	drop	[]
5005502	9058009	9158001	{"7":{"id":"0105502","slot":["5005502","0105002","0201019","0201019","0201026","0201026"],"gcoin":1500}}	{}	600	UI_CH00S502	99	drop	[]
5005503	9058010	9158001	{"7":{"id":"0105503","slot":["5005503","0105013","0201020","0201002","0201021","0201021"],"gcoin":3000}}	{}	800	UI_CH00S503	99	drop	[]
5005504	9058011	9158001	{"7":{"id":"0105504","slot":["5005504","0105003","0201014","0201008","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00S504	99	drop	[]
5005505	9058012	9158001	{"7":{"id":"0105505","slot":["5005505","0105007","0201014","0201020","0201021","0201021"],"gcoin":3000}}	{}	800	UI_CH00S505	99	drop	[]
5005506	9058013	9158001	{"7":{"id":"0105506","slot":["5005506","0105005","0201020","0201026","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00S506	99	drop	[]
5005507	9058014	9158001	{"7":{"id":"0105507","slot":["5005507","0105004","0201007","0201013","0201020","0201020"],"gcoin":1500}}	{}	600	UI_CH00S507	99	drop	[]
5005508	9058015	9158001	{"7":{"id":"0105508","slot":["5005508","0105001","0201007","0201001","0201026","0201026"],"gcoin":1500}}	{}	600	UI_CH00S508	99	drop	[]
5005509	9058016	9158001	{"7":{"id":"0105509","slot":["5005509","0105016","0201021","0201021","0201021","0201022"],"gcoin":6000}}	{}	1000	UI_CH00S509	99	drop	[]
5002035	9058017	9158001	{"7":{"id":"0102035","slot":["5002035","0102020","0201019","0201019","0201026","0201026"],"gcoin":1500}}	{}	600	UI_CH00BI35	99	drop	[]
5002040	9058018	9158001	{"7":{"id":"0102040","slot":["5002040","0102041","0201014","0201008","0201026","0201026"],"gcoin":1500}}	{}	600	UI_CH00BI40	99	drop	[]
5002046	9058019	9158001	{"7":{"id":"0102046","slot":["5002046","0102014","0201002","0201002","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00BI46	99	drop	[]
5002501	9058020	9158001	{"7":{"id":"0102501","slot":["5002501","0102011","0201020","0201026","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00BI501	99	drop	[]
5002502	9058021	9158001	{"7":{"id":"0102502","slot":["5002502","0102037","0201026","0201026","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00BI502	99	drop	[]
5002503	9058022	9158001	{"7":{"id":"0102503","slot":["5002503","0102036","0201020","0201020","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00BI503	99	drop	[]
5002504	9058023	9158001	{"7":{"id":"0102504","slot":["5002504","0102025","0201027","0201021","0201027","0201028"],"gcoin":6000}}	{}	1000	UI_CH00BI504	99	drop	[]
5002505	9058024	9158001	{"7":{"id":"0102505","slot":["5002505","0102009","0201002","0201014","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00BI505	99	drop	[]
5002506	9058025	9158001	{"7":{"id":"0102506","slot":["5002506","0102019","0201020","0201008","0201027","0201027"],"gcoin":3000}}	{}	800	UI_CH00BI506	99	drop	[]
5001024	9058026	9158001	{"7":{"id":"0101024","slot":["5001024","0101001","0201032","0201050","0201055","0201055"],"gcoin":1500}}	{}	600	UI_CH00H024	99	drop	[]
5001026	9058027	9158001	{"7":{"id":"0101026","slot":["5001026","0101003","0201050","0201062","0201055","0201061"],"gcoin":1500}}	{}	600	UI_CH00H026	99	drop	[]
5001028	9058028	9158001	{"7":{"id":"0101028","slot":["5001028","0101005","0201062","0201056","0201055","0201055"],"gcoin":1500}}	{}	600	UI_CH00H028	99	drop	[]
5001029	9058029	9158001	{"7":{"id":"0101029","slot":["5001029","0101006","0201044","0201056","0201049","0201049"],"gcoin":1500}}	{}	600	UI_CH00H029	99	drop	[]
5001027	9058030	9158001	{"7":{"id":"0101027","slot":["5001027","0101004","0201038","0201032","0201055","0201061"],"gcoin":1500}}	{}	600	UI_CH00H027	99	drop	[]
0202017	9008017	9108017	{"4":10}	{}	0	UI_ItemUse_012	1	act	[]
0202018	9008018	9108018	{"4":15}	{}	0	UI_ItemUse_012	1	act	[]
0202019	9008019	9108019	{"4":20}	{}	0	UI_ItemUse_012	2	act	[]
0202020	9008020	9108020	{"4":35}	{}	0	UI_ItemUse_012	3	act	[]
0202021	9008021	9108021	{"4":45}	{}	0	UI_ItemUse_012	4	act	[]
0202022	9008022	9108022	{"4":60}	{}	0	UI_ItemUse_012	5	act	[]
0202023	9008023	9108023	{"4":75}	{}	0	UI_ItemUse_012	6	act	[]
0202024	9008024	9108024	{"5":120}	{}	0	UI_ItemUse_013	4	act	[]
0202501	9008501	9108501	{"11":{"saiqianxiang":5}}	{}	0	box	1		[]
0202502	9008502	9108502	{"11":{"zuanshihongbao":10}}	{}	0	envelope	1		[]
0202503	9008503	9108503	{"11":{"zuanshifudai":10}}	{}	0	bag	1		[]
0202504	9008504	9108504	{"11":{"zuanshixiang":10}}	{}	0	box	1		[]
0202505	9008505	9108505	{"11":{"yxzhuangbeibao":1}}	{}	0	backpack	2		[]
0202506	9008506	9108506	{"11":{"jlzhuangbeibao":1}}	{}	0	backpack	3		[]
0202507	9008507	9108507	{"11":{"sszhuangbeibao":1}}	{}	0	backpack	4		[]
0202508	9008508	9108508	{"11":{"cszhuangbeibao":1}}	{}	0	backpack	5		[]
0202509	9008509	9108509	{"11":{"yxzhuangbeidai":5}}	{}	0	bag	2		[]
0202510	9008510	9108510	{"11":{"jlzhuangbeidai":5}}	{}	0	bag	3		[]
0202511	9008511	9108511	{"11":{"sszhuangbeidai":5}}	{}	0	bag	4		[]
0202512	9008512	9108512	{"11":{"cszhuangbeidai":5}}	{}	0	bag	5		[]
0202513	9008513	9108513	{"11":{"yxzhuangbeixiang":10}}	{}	0	box	2		[]
0202514	9008514	9108514	{"11":{"jlzhuangbeixiang":10}}	{}	0	box	3		[]
0202515	9008515	9108515	{"11":{"sszhuangbeixiang":10}}	{}	0	box	4		[]
0202516	9008516	9108516	{"11":{"cszhuangbeixiang":10}}	{}	0	box	5		[]
0202517	9008517	9108517	{"11":{"yxlingjiandai":5}}	{}	0	bag	2		[]
0202518	9008518	9108518	{"11":{"jllingjiandai":5}}	{}	0	bag	3		[]
0202519	9008519	9108519	{"11":{"sslingjiandai":5}}	{}	0	bag	4		[]
0202520	9008520	9108520	{"11":{"yxlingjianxiang":10}}	{}	0	box	2		[]
0202521	9008521	9108521	{"11":{"jllingjianxiang":10}}	{}	0	box	3		[]
0202522	9008522	9108522	{"11":{"sslingjianxiang":10}}	{}	0	box	4		[]
0202523	9008523	9108523	{"11":{"yxgouliangbao":1}}	{}	0	backpack	2		[]
0202524	9008524	9108524	{"11":{"yxgouliangdai":5}}	{}	0	bag	2		[]
0202525	9008525	9108525	{"11":{"yxgouliangxiang":10}}	{}	0	box	2		[]
0202526	9008526	9108526	{"11":{"yxhouqindai":5}}	{}	0	bag	2		[]
0202527	9008527	9108527	{"11":{"jlhouqindai":5}}	{}	0	bag	3		[]
0202528	9008528	9108528	{"11":{"yxhouqinxiang":10}}	{}	0	box	2		[]
0202529	9008529	9108529	{"11":{"jlhouqinxiang":10}}	{}	0	box	3		[]
0202530	9008530	9108530	{"11":{"yinghuaxiang":1}}	{}	0	box	3		[]
0202532	9008532	9108532	{"11":{"jinsesuipianbao":1}}	{}	0	bag	5		[]
6001024	9081024	9181024	{}	{}	0	Guard01	5	dorp	[]
6001028	9081028	9181028	{}	{}	0	lolipop	5	dorp	[]
6001029	9081029	9181029	{}	{}	0	vote	5	dorp	[]
6001030	9081030	9181030	{}	{}	0	Acup	5	dorp	[]
6001031	9081031	9181031	{}	{}	0	Ccup	5	dorp	[]
6001034	9081034	9181034	{}	{}	0	rice	5	dorp	[]
6001035	9081035	9181035	{}	{}	0	popsicle	5	dorp	[]
6001036	9081036	9181036	{}	{}	0	bell02	5	dorp	[]
6001037	9081037	9181037	{}	{}	0	hat	5	dorp	[]
6001038	9081038	9181038	{}	{}	0	cream	5	dorp	[]
6001039	9081039	9181039	{}	{}	0	sun	5	dorp	[]
6001040	9081040	9181040	{}	{}	0	badge	5	dorp	[]
6001041	9081041	9181041	{}	{}	0	Soccer	5	dorp	[]
6001042	9081042	9181042	{}	{}	0	RedR	5	dorp	[]
6001043	9081043	9181043	{}	{}	0	Lock	5	dorp	[]
6001044	9081044	9181044	{}	{}	0	Key	5	dorp	[]
6001045	9081045	9181045	{}	{}	0	Daisy	5	dorp	[]
6001046	9081046	9181046	{}	{}	0	Gift01	5	dorp	[]
6001047	9081047	9181047	{}	{}	0	Candy01	5	dorp	[]
6001052	9081052	9181052	{}	{}	0	force01	5	dorp	[]
6001053	9081053	9181053	{}	{}	0	tent01	5	dorp	[]
6001054	9081054	9181054	{}	{}	0	oil01	5	dorp	[]
6001055	9081055	9181055	{}	{}	0	blink01	5	dorp	[]
6001056	9081056	9181056	{}	{}	0	homework01	5	dorp	[]
6001058	9081058	9181058	{}	{}	0	choke01	5	dorp	[]
6001059	9081059	9181059	{}	{}	0	die01	5	dorp	[]
6001060	9081060	9181060	{}	{}	0	cakebox	5	dorp	[]
6001061	9081061	9181061	{}	{}	0	mooncake	5	dorp	[]
6001062	9081062	9181062	{}	{}	0	tail	5	dorp	[]
6001063	9081063	9181063	{}	{}	0	clock01	5	dorp	[]
