專屬碼	名稱	屬性	臉	皮膚	胸部	裝備	技能1	技能2	音效包	被動技能	頭像	頭像框	弱點加成	弱點	弱點角色	弱點技能
2001021	9020018	{"1":47,"2":79,"3":47,"4":66,"5":75,"6":300,"7":150,"8":40,"11":1.3,"12":1.1,"13":1.1}	2201001	2202001	2203001	["0101024","0102061","0103005","","0105061",""]	{"id":"0301009","damage":30,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305002","damage":30,"success":25,"time":25,"rage":0,"blood":25}	1100907					[]	[]	[]
2001022	9020019	{"1":52,"2":84,"3":55,"4":40,"5":74,"6":300,"7":150,"8":40,"11":1.1,"12":1.1,"13":1.1}	2201002	2202001	2203001	["0101016","0102205","0103011","","0105009","0106060"]	{"id":"0301010","damage":40,"success":0,"time":1,"rage":1,"blood":1}	{}	1100902					[]	[]	[]
2001023	9011004	{"1":52,"2":80,"3":54,"4":74,"5":83,"6":150,"7":150,"8":50,"11":1.1,"12":1.1,"13":1.1}	2201004	2202001	2203003	["0101004","0102503","0103004","","0105004",""]	{"id":"0301005","damage":40,"success":0,"time":40,"rage":40,"blood":40}	{}	1100004					[]	[]	[]
2001024	9020020	{"1":55,"2":81,"3":61,"4":89,"5":90,"6":250,"7":250,"8":50,"11":1.2,"12":1.2,"13":1.2}	2201004	2202001	2203003	["0101011","0102078","0103062","","0105011","0106062"]	{"id":"0301006","damage":40,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305006","damage":40,"success":40,"time":40,"rage":0,"blood":40}	1100906	0302011				[]	[]	[]
2001025	9020021	{"1":64,"2":99,"3":154,"4":134,"5":128,"6":40,"7":300,"8":350,"11":1.1,"12":1.1,"13":1.1}	2201005	2202001	2203004	["0101012","0102091","0103056","","0105054","0106001"]	{"id":"0305003","damage":1,"success":1,"time":200,"rage":250,"blood":0}	{"id":"0305004","damage":1,"success":1,"time":150,"rage":0,"blood":300}	1100906					[]	[]	[]
2001026	9020022	{"1":88,"2":108,"3":160,"4":100,"5":108,"6":40,"7":40,"8":40,"11":1.1,"12":1.1,"13":1.1,"24":1000}	2201001	2202001	2203001	["0101013","0102016","0103057","","0105001","0106052"]	{"id":"0301006","damage":200,"success":0,"time":100,"rage":0,"blood":40}	{"id":"0301013","damage":200,"success":0,"time":200,"rage":0,"blood":80}	1100906					[]	[]	[]
2001027	9020023	{"1":66,"2":110,"3":150,"4":94,"5":98,"6":50,"7":300,"8":300,"11":1.1,"12":1.1,"13":1.4}	2201003	2202001	2203001	["0101019","0102091","0103052","","0105059",""]	{"id":"0305003","damage":40,"success":40,"time":40,"rage":0,"blood":40}	{}	1100902					[]	[]	[]
2001028	9020024	{"1":110,"2":120,"3":170,"4":104,"5":108,"6":350,"7":100,"8":100,"11":1.1,"12":1.1,"13":1.1,"22":15000}	2201002	2202001	2203001	["0101018","0102207","0103054","","0105060","0106059"]	{"id":"0305004","damage":40,"success":40,"time":40,"rage":0,"blood":40}	{}	1100904					[]	[]	[]
2001029	9020025	{"1":94,"2":114,"3":186,"4":128,"5":122,"6":50,"7":350,"8":50,"11":1.1,"12":1.1,"13":1.1,"21":800}	2201004	2202002	2203002	["0101022","0102018","0103008","","0105006",""]	{"id":"0305002","damage":40,"success":40,"time":40,"rage":0,"blood":40}	{}	1100903					[]	[]	[]
2001030	9011005	{"1":108,"2":140,"3":178,"4":88,"5":140,"6":40,"7":300,"8":300,"11":1.1,"12":1.1,"13":1.1}	2201006	2202001	2203001	["0101001","0102059","0103001","","0105059","0106059"]	{"id":"0301009","damage":60,"success":0,"time":60,"rage":60,"blood":60}	{"id":"0305001","damage":40,"success":40,"time":40,"rage":0,"blood":100}	1100005					[]	[]	[]
2001031	9020026	{"1":175,"2":108,"3":132,"4":110,"5":107,"6":300,"7":40,"8":130,"11":1.3,"12":1.4,"13":0.8}	2201006	2202002	2203001	["0101022","0102034","0103002","","0105002",""]	{"id":"0301012","damage":60,"success":0,"time":100,"rage":100,"blood":100}	{"id":"0305003","damage":60,"success":40,"time":40,"rage":0,"blood":50}	1100902					[]	[]	[]
2001032	9020027	{"1":164,"2":115,"3":127,"4":107,"5":112,"6":40,"7":40,"8":40,"11":1.1,"12":1.1,"13":1.1,"24":1300}	2201002	2202002	2203002	["0101047","0102045","0103003","","0105015",""]	{"id":"0301004","damage":60,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0305005","damage":80,"success":40,"time":40,"rage":0,"blood":40}	1100903					[]	[]	[]
2001033	9020028	{"1":189,"2":60,"3":33,"4":114,"5":121,"6":300,"7":60,"8":300,"11":1.3,"12":1.1,"13":1.1}	2201003	2202001	2203002	["0101024","0102503","0103004","","0105004",""]	{"id":"0301012","damage":60,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0301006","damage":200,"success":0,"time":100,"rage":40,"blood":40}	1100905					[]	[]	[]
2001034	9020029	{"1":191,"2":119,"3":121,"4":113,"5":108,"6":300,"7":300,"8":40,"11":1.1,"12":1.1,"13":1.1}	2201004	2202001	2203003	["0101025","0102100","0103005","","0105005",""]	{"id":"0301011","damage":200,"success":0,"time":70,"rage":100,"blood":1}	{"id":"0305007","damage":1,"success":40,"time":100,"rage":0,"blood":200}	1100904					[]	[]	[]
2001035	9020030	{"1":188,"2":103,"3":135,"4":121,"5":132,"6":140,"7":60,"8":140,"11":1.1,"12":1.1,"13":1.1,"21":800}	2201005	2202002	2203004	["0101026","0102058","0103006","","0105006",""]	{"id":"0301002","damage":60,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0305009","damage":40,"success":40,"time":40,"rage":0,"blood":40}	1100902					[]	[]	[]
2001036	9011006	{"1":170,"2":150,"3":133,"4":120,"5":155,"6":250,"7":40,"8":250,"11":1.2,"12":1.2,"13":1.2,"22":3000}	2201002	2202001	2203002	["0101002","0102018","0103002","","0105002",""]	{"id":"0301003","damage":300,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0301008","damage":100,"success":0,"time":1,"rage":1,"blood":1}	1100006					[]	[]	[]
2001037	9020031	{"1":260,"2":480,"3":240,"4":308,"5":268,"6":50,"7":350,"8":50,"11":1.2,"12":1.2,"13":1.2,"24":1500}	2201002	2202001	2203001	["0101018","0102011","0103006","","0105003",""]	{"id":"0301008","damage":70,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305006","damage":70,"success":70,"time":70,"rage":0,"blood":70}	1100906					[]	[]	[]
2001038	9020032	{"1":252,"2":520,"3":192,"4":320,"5":308,"6":124,"7":140,"8":60,"11":1.2,"12":1.4,"13":0.8}	2201003	2202001	2203001	["0101027","0102009","0103004","","0105004",""]	{"id":"0301012","damage":70,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305002","damage":70,"success":70,"time":70,"rage":0,"blood":70}	1100904					[]	[]	[]
2001039	9011007	{"1":216,"2":456,"3":240,"4":368,"5":320,"6":40,"7":40,"8":40,"11":1.2,"12":1.2,"13":1.2,"22":3000}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301011","damage":100,"success":0,"time":70,"rage":100,"blood":1}	{"id":"0305008","damage":1,"success":70,"time":150,"rage":0,"blood":0}	1100007					[]	[]	[]
2001040	9020034	{"1":204,"2":440,"3":308,"4":288,"5":220,"6":300,"7":152,"8":60,"11":1.2,"12":1.2,"13":1.2,"21":800}	2201005	2202002	2203003	["0101014","0102016","0103051","","0105051","0106051"]	{"id":"0301009","damage":70,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305009","damage":50,"success":70,"time":70,"rage":0,"blood":0}	1100904					[]	[]	[]
2001041	9020035	{"1":208,"2":412,"3":240,"4":256,"5":228,"6":50,"7":152,"8":300,"11":1.3,"12":1.2,"13":1.2}	2201001	2202003	2203004	["0101020","0102211","0103053","","0105053","0106053"]	{"id":"0301004","damage":70,"success":0,"time":130,"rage":70,"blood":70}	{"id":"0305001","damage":30,"success":70,"time":150,"rage":0,"blood":0}	1100905					[]	[]	[]
2001042	9011007	{"1":256,"2":456,"3":328,"4":324,"5":372,"6":300,"7":300,"8":40,"11":1.2,"12":1.2,"13":1.2,"22":15000}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301008","damage":70,"success":0,"time":200,"rage":30,"blood":30}	{}	1100007					[]	[]	[]
2001043	9020037	{"1":256,"2":360,"3":616,"4":536,"5":512,"6":50,"7":160,"8":300,"11":1.2,"12":1.3,"13":1.2}	2201003	2202005	2203001	["0101025","0102052","0103052","","0105052","0106052"]	{"id":"0301003","damage":150,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305003","damage":80,"success":40,"time":40,"rage":0,"blood":40}	1100903					[]	[]	[]
2001044	9020038	{"1":352,"2":320,"3":640,"4":400,"5":158,"6":80,"7":80,"8":80,"11":1.2,"12":1.4,"13":1.3}	2201004	2202001	2203002	["0101051","0102065","0103018","","0105018","0106065"]	{"id":"0301002","damage":200,"success":0,"time":200,"rage":80,"blood":80}	{"id":"0305004","damage":80,"success":100,"time":100,"rage":0,"blood":100}	1100905					[]	[]	[]
2001045	9011007	{"1":264,"2":440,"3":600,"4":376,"5":392,"6":300,"7":50,"8":150,"11":1.2,"12":0.9,"13":1.3,"21":2000}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301005","damage":45,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305005","damage":60,"success":40,"time":40,"rage":0,"blood":40}	1100007					[]	[]	[]
2001046	9020040	{"1":440,"2":480,"3":680,"4":416,"5":432,"6":50,"7":300,"8":150,"11":1.2,"12":1.2,"13":1.2}	2201001	2202005	2203004	["0101017","0102078","0103054","","0105054","0106054"]	{"id":"0301006","damage":300,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305007","damage":60,"success":80,"time":80,"rage":0,"blood":80}	1100904					[]	[]	[]
2001047	9020041	{"1":376,"2":456,"3":744,"4":812,"5":488,"6":350,"7":50,"8":50,"11":1.2,"12":1.2,"13":1.2,"22":10000}	2201002	2202005	2203001	["0101024","0102103","0103008","","0105059",""]	{"id":"0301008","damage":200,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305003","damage":80,"success":80,"time":80,"rage":0,"blood":80}	1100907	0302029				[]	[]	[]
2001048	9011007	{"1":432,"2":560,"3":712,"4":352,"5":560,"6":35,"7":330,"8":330,"11":1.2,"12":0.8,"13":0.8}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0305010","damage":100,"success":50,"time":1,"rage":0,"blood":1}	{"id":"0305009","damage":100,"success":50,"time":1,"rage":0,"blood":1}	1100007					[]	[]	[]
2001049	9020043	{"1":235,"2":228,"3":290,"4":877,"5":358,"6":60,"7":60,"8":60,"11":1.25,"12":1.2,"13":1.2,"22":5000,"24":2000}	2201004	2202001	2203002	["0101047","0102045","0103006","","0105015",""]	{"id":"0301008","damage":200,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0301012","damage":1,"success":0,"time":100,"rage":100,"blood":100}	1100905	0302029				[]	[]	[]
2001050	9020044	{"1":820,"2":575,"3":635,"4":535,"5":560,"6":300,"7":50,"8":300,"11":1.25,"12":1.2,"13":1.2,"22":3000}	2201005	2202001	2203003	["0101026","0102045","0103052","","0105006",""]	{"id":"0301009","damage":200,"success":0,"time":90,"rage":90,"blood":90}	{}	1100906					[]	[]	[]
2001051	9011007	{"1":945,"2":620,"3":580,"4":570,"5":450,"6":250,"7":250,"8":250,"11":0.8,"12":0.8,"13":0.8}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301008","damage":250,"success":0,"time":1,"rage":1,"blood":1}	{"id":"0301010","damage":65,"success":0,"time":1,"rage":1,"blood":1}	1100007					[]	[]	[]
2001052	9020046	{"1":955,"2":595,"3":605,"4":565,"5":540,"6":300,"7":60,"8":300,"11":1.25,"12":1.25,"13":1,"21":2000}	2201002	2202002	2203001	["0101011","0102057","0103002","","0105056","0106056"]	{"id":"0301005","damage":45,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305005","damage":60,"success":40,"time":40,"rage":0,"blood":40}	1100901					[]	[]	[]
2001053	9020047	{"1":940,"2":515,"3":675,"4":605,"5":660,"6":300,"7":300,"8":60,"11":1.25,"12":1.4,"13":0.8,"21":3000}	2201003	2202003	2203001	["0101012","0102052","0103011","","0105054",""]	{"id":"0301001","damage":200,"success":0,"time":90,"rage":90,"blood":90}	{"id":"0305010","damage":65,"success":90,"time":90,"rage":0,"blood":90}	1100902					[]	[]	[]
2001054	9011007	{"1":850,"2":750,"3":665,"4":600,"5":775,"6":40,"7":330,"8":330,"11":1.25,"12":1.2,"13":1.2}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301007","damage":150,"success":0,"time":90,"rage":90,"blood":90}	{"id":"0305007","damage":65,"success":90,"time":90,"rage":0,"blood":90}	1100007					[]	[]	[]
2001055	9020049	{"1":650,"2":1200,"3":600,"4":770,"5":670,"6":350,"7":60,"8":60,"11":1.2,"12":1.25,"13":1.2,"22":12000}	2201005	2202005	2203003	["0101004","0102091","0103013","","0105061",""]	{"id":"0301008","damage":200,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305003","damage":80,"success":80,"time":80,"rage":0,"blood":80}	1100905	0302029				[]	[]	[]
2001056	9020050	{"1":630,"2":1300,"3":480,"4":800,"5":770,"6":60,"7":60,"8":60,"11":1.2,"12":1.25,"13":1.2,"22":7000,"24":2500}	2201001	2202001	2203004	["0101016","0102091","0103060","","0105060","0106060"]	{"id":"0301009","damage":200,"success":0,"time":90,"rage":90,"blood":90}	{}	1100906					[]	[]	[]
2001057	9011007	{"1":540,"2":1140,"3":600,"4":920,"5":500,"6":280,"7":280,"8":280,"11":0.9,"12":0.9,"13":0.9}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301005","damage":60,"success":0,"time":100,"rage":100,"blood":100}	{"id":"0305001","damage":60,"success":100,"time":100,"rage":0,"blood":100}	1100007					[]	[]	[]
2001058	9020052	{"1":510,"2":1100,"3":770,"4":720,"5":550,"6":60,"7":200,"8":330,"11":1.2,"12":1.3,"13":1.2}	2201003	2202001	2203001	["0101011","0102078","0103062","","0105062","0106062"]	{"id":"0301009","damage":100,"success":0,"time":100,"rage":100,"blood":100}	{"id":"0305008","damage":60,"success":100,"time":100,"rage":0,"blood":100}	1100902					[]	[]	[]
2001059	9020053	{"1":520,"2":1030,"3":600,"4":640,"5":570,"6":330,"7":330,"8":60,"11":1.2,"12":1.4,"13":0.9,"21":3000}	2201004	2202001	2203002	["0101012","0102504","0103056","","0105054","0106001"]	{"id":"0301011","damage":200,"success":0,"time":1,"rage":1,"blood":1}	{"id":"0305003","damage":60,"success":100,"time":100,"rage":0,"blood":100}	1100901					[]	[]	[]
2001060	9011007	{"1":640,"2":1140,"3":820,"4":810,"5":600,"6":330,"7":60,"8":330,"11":1.2,"12":1.25,"13":1.2,"22":4000}	2201007	2202001	2203003	["0101007","0102098","0103007","","0105007","0106002"]	{"id":"0301012","damage":30,"success":0,"time":100,"rage":100,"blood":100}	{"id":"0301011","damage":200,"success":0,"time":1,"rage":1,"blood":1}	1100007	0302029				[]	[]	[]
2001061	9020055	{"1":12,"2":18,"3":10,"4":10,"5":5,"6":100,"7":50,"8":50,"11":0.8,"12":0.8,"13":0.8}	2201008	2202001	2203001	["0101011","0102055","0103006","","0105004",""]	{}	{}	1100906					[]	[]	[]
2001062	9020056	{"1":8,"2":16,"3":8,"4":18,"5":8,"6":100,"7":50,"8":50,"11":0.8,"12":0.8,"13":0.8}	2201001	2202002	2203003	["0101021","0102035","0103008","","0105008",""]	{}	{}	1100905					[]	[]	[]
2001063	9020001	{"1":8,"2":25,"3":11,"4":15,"5":20,"6":100,"7":200,"8":80,"11":0.8,"12":0.8,"13":0.8}	2201004	2202001	2203001	["0101024","0102037","0103001","","0105001",""]	{}	{}	1100904					[]	[]	[]
2001064	9020057	{"1":9,"2":21,"3":10,"4":18,"5":17,"6":100,"7":280,"8":60,"11":0.8,"12":0.8,"13":0.8}	2201009	2202002	2203001	["0101012","0102056","0103055","","0105006",""]	{}	{}	1100902					[]	[]	[]
2001065	9020058	{"1":10,"2":30,"3":17,"4":24,"5":20,"6":100,"7":100,"8":200,"11":0.8,"12":0.8,"13":0.8}	2201010	2202002	2203002	["0101022","0102032","0103004","","0105006",""]	{}	{}	1100903					[]	[]	[]
2001066	9020059	{"1":15,"2":32,"3":15,"4":22,"5":18,"6":100,"7":100,"8":280,"11":0.8,"12":0.8,"13":0.8}	2201008	2202001	2203003	["0101017","0102055","0103055","","0105055",""]	{}	{}	1100905					[]	[]	[]
2001067	9020060	{"1":27,"2":40,"3":22,"4":20,"5":20,"6":80,"7":200,"8":80,"11":0.8,"12":0.8,"13":0.8}	2201010	2202001	2203001	["0101009","0102056","0103005","","0105005",""]	{}	{}	1100902					[]	[]	[]
2001068	9020061	{"1":18,"2":38,"3":25,"4":18,"5":21,"6":60,"7":280,"8":60,"11":0.9,"12":0.9,"13":0.9}	2201003	2202003	2203002	["0101019","0102011","0103002","","0105002",""]	{}	{}	1100906					[]	[]	[]
2001069	9020062	{"1":20,"2":47,"3":27,"4":23,"5":22,"6":200,"7":100,"8":80,"11":0.9,"12":0.9,"13":0.9}	2201010	2202002	2203002	["0101015","0102035","0103003","","0105004",""]	{}	{}	1100907					[]	[]	[]
2001070	9020063	{"1":23,"2":42,"3":21,"4":20,"5":24,"6":280,"7":100,"8":60,"11":0.9,"12":0.9,"13":0.9}	2201004	2202002	2203001	["0101027","0102035","0103008","","0105006",""]	{}	{}	1100902					[]	[]	[]
2001071	9020064	{"1":21,"2":44,"3":26,"4":25,"5":26,"6":100,"7":100,"8":80,"11":0.9,"12":0.9,"13":0.9}	2201009	2202001	2203001	["0101035","0102044","0103012","","0105012",""]	{}	{}	1100906					[]	[]	[]
2001072	9020065	{"1":24,"2":33,"3":21,"4":33,"5":24,"6":100,"7":100,"8":60,"11":0.9,"12":0.9,"13":0.9}	2201002	2202002	2203001	["0101039","0102055","0103006","","0105006",""]	{}	{}	1100905					[]	[]	[]
2001073	9020066	{"1":18,"2":22,"3":24,"4":40,"5":23,"6":80,"7":100,"8":100,"11":1,"12":1,"13":1}	2201003	2202002	2203002	["0101014","0102035","0103004","","0105014",""]	{"id":"0301003","damage":1,"success":0,"time":5,"rage":0,"blood":200}	{}	1100906					[]	[]	[]
2001074	9020067	{"1":17,"2":20,"3":25,"4":43,"5":10,"6":60,"7":100,"8":100,"11":1,"12":1,"13":1}	2201001	2202002	2203001	["0101031","0102034","0103006","","0105008",""]	{"id":"0301003","damage":1,"success":0,"time":5,"rage":0,"blood":200}	{}	1100902					[]	[]	[]
2001075	9020068	{"1":20,"2":18,"3":33,"4":50,"5":22,"6":80,"7":100,"8":100,"11":1.1,"12":1.1,"13":1.1}	2201006	2202003	2203001	["0101030","0102033","0103004","","0105006",""]	{}	{}	1100904					[]	[]	[]
2001076	9020069	{"1":22,"2":14,"3":22,"4":52,"5":12,"6":60,"7":100,"8":100,"11":1.1,"12":1.1,"13":1.1}	2201010	2202001	2203001	["0101041","0102052","0103006","","0105052","0106052"]	{"id":"0301001","damage":10,"success":0,"time":10,"rage":10,"blood":50}	{}	1100903					[]	[]	[]
2001077	9020070	{"1":26,"2":16,"3":22,"4":41,"5":20,"6":200,"7":80,"8":200,"11":1.1,"12":1.1,"13":1.1}	2201003	2202001	2203003	["0101045","0102042","0103002","","0105004",""]	{"id":"0301013","damage":1,"success":0,"time":50,"rage":150,"blood":10}	{}	1100901					[]	[]	[]
2001078	9020071	{"1":27,"2":17,"3":34,"4":38,"5":11,"6":280,"7":60,"8":280,"11":1.1,"12":1.1,"13":1.1}	2201005	2202001	2203001	["0101043","0102047","0103010","","0105010",""]	{"id":"0301013","damage":1,"success":0,"time":50,"rage":150,"blood":10}	{}	1100907					[]	[]	[]
2001079	9020072	{"1":24,"2":30,"3":24,"4":39,"5":40,"6":80,"7":80,"8":80,"11":1.1,"12":1.1,"13":1.1,"24":200}	2201010	2202001	2203001	["0101025","0102038","0103008","","0105008",""]	{}	{}	1100904					[]	[]	[]
2001080	9020073	{"1":20,"2":19,"3":43,"4":42,"5":30,"6":60,"7":60,"8":60,"11":1,"12":1,"13":1,"24":300}	2201001	2202003	2203003	["0101013","0102035","0103002","","0105006",""]	{}	{}	1100907					[]	[]	[]
2001081	9020074	{"1":19,"2":22,"3":15,"4":50,"5":45,"6":80,"7":200,"8":200,"11":1.1,"12":1.1,"13":1.5}	2201006	2202001	2203002	["0101010","0102044","0103006","","0105006",""]	{}	{}	1100902					[]	[]	[]
2001082	9020075	{"1":22,"2":24,"3":18,"4":45,"5":48,"6":60,"7":280,"8":280,"11":1.1,"12":1.1,"13":1.5}	2201010	2202001	2203001	["0101026","0102040","0103002","","0105002",""]	{}	{}	1100906					[]	[]	[]
2001083	9020076	{"1":23,"2":26,"3":42,"4":45,"5":43,"6":80,"7":150,"8":150,"11":1.1,"12":1.1,"13":1.1}	2201001	2202002	2203001	["0101040","0102057","0103057","","0105057",""]	{"id":"0301005","damage":5,"success":0,"time":5,"rage":5,"blood":5}	{}	1100903					[]	[]	[]
2001084	9020077	{"1":33,"2":27,"3":46,"4":42,"5":41,"6":60,"7":200,"8":200,"11":1.1,"12":1.1,"13":1.1}	2201005	2202002	2203002	["0101016","0102054","0103006","","0105005",""]	{"id":"0301005","damage":5,"success":0,"time":5,"rage":5,"blood":5}	{}	1100907					[]	[]	[]
