AIID	type	待機判斷時間	防禦時間	組合拳1	組合拳2	組合拳3	組合拳機率1	組合拳機率2	組合拳機率3	攻擊機率	閃躲機率	防禦機率	攻擊機率	閃躲機率	防禦機率	反擊時間
34	34	0.2	1,1	0,0,3	0,2,1	2,1,2	30	40	30	50	50	0	50	50	0	0.3
35	35	0.2	1,1	0,0,3	0,1,2	0,1,3	50	40	10	70	30	0	20	70	0	0.5
36	36	0.1	1,1	0,0,3	0,2,3	0,1,3	50	40	10	20	80	0	100	0	0	1
37	37	0.1	1,1	0,3,1	0,2,2	5,2,3	30	40	30	35	30	35	35	35	30	0.8
38	38	0.2	1,1	0,0,1	0,2,0	2,1,2	30	40	30	70	10	20	70	20	30	0.3
39	39	0.2	1,2	0,1,2	0,2,2	0,2,1	50	40	10	30	50	20	20	70	10	0.5
40	40	0.5	1,2	2,1,2	0,2,2	1,2,1	30	40	30	35	30	35	35	35	30	0.5
41	41	0.5	1,2	0,1,2	1,0,0	1,2,0	50	40	10	0	30	70	30	70	0	0.5
42	42	0.1	1,1	0,0,2	2,0,0	1,2,0	40	40	20	100	0	0	50	0	50	0.1
43	43	0.3	1,2	0,2,1	5,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
44	44	0.2	1,1	0,0,1	0,2,0	2,0,2	30	40	30	70	10	20	70	20	30	0.8
45	45	0.2	1,2	0,1,1	0,2,2	0,0,1	50	40	10	30	50	20	20	70	10	0.8
46	46	0.5	1,2	0,1,0	0,2,2	0,2,0	30	40	30	35	30	35	35	35	30	0.5
47	47	0.5	1,2	0,0,2	1,0,0	1,2,0	50	40	10	0	30	70	30	70	0	0.5
48	48	0.1	1,1	0,0,2	1,0,0	2,2,0	40	40	20	100	0	0	50	0	50	0.5
49	49	0.3	1,2	0,1,1	5,1,2	0,2,1	30	40	30	35	30	35	35	35	30	0.3
50	50	0.2	1,1	0,0,1	0,2,1	2,1,2	30	40	30	70	10	20	70	20	30	0.3
51	51	0.2	1,2	1,1,2	0,2,2	0,2,1	50	40	10	30	50	20	20	70	10	0.5
52	52	0.5	1,2	2,1,2	0,1,1	1,2,1	30	40	30	35	30	35	35	35	30	0.5
53	53	0.4	0,0	0,1,2	2,2,0	1,2,0	50	40	10	0	30	70	30	70	0	0.3
54	54	0.1	1,1	0,1,1	2,1,1	1,2,0	40	40	20	100	0	0	50	0	50	0.1
55	55	0.3	1,2	0,2,1	5,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
56	56	0.2	1,1	2,0,3	0,1,2	0,1,3	50	40	10	70	30	0	20	70	0	0.5
57	57	0.2	1,1	0,0,2	0,2,3	0,1,3	50	40	10	20	80	0	100	0	0	1.5
58	58	0.2	1,1	0,3,1	0,2,1	0,2,3	30	40	30	35	30	35	35	35	30	0.8
59	59	0.2	1,1	0,1,1	0,2,0	2,1,2	30	40	30	70	10	20	70	20	30	0.3
60	60	0.2	1,2	0,1,2	0,2,2	3,2,1	50	40	10	30	50	20	20	70	10	0.5
61	61	0.5	1,2	2,1,2	0,2,3	1,2,1	30	40	30	35	30	35	35	35	30	0.5
62	62	0.3	1,1	0,2,1	0,1,2	1,1,5	50	40	10	100	0	0	30	70	0	0.6
63	63	0.3	1,2	0,0,3	0,1,1	1,1,3	50	40	10	50	50	0	40	60	0	0.5
64	64	0.3	1,1	0,0,3	0,0,1	2,1,3	30	40	30	60	40	0	70	30	0	0.3
65	65	0.2	1,1	0,0,1	0,2,0	2,0,2	30	40	30	70	10	20	70	20	30	0.8
66	66	0.2	1,2	0,1,1	0,2,2	0,0,1	50	40	10	30	50	20	20	70	10	0.8
67	67	0.2	1,2	0,1,0	0,2,2	0,2,0	30	40	30	35	30	35	35	35	30	0.5
68	68	0.3	1,1	0,2,1	0,1,2	1,1,5	50	40	10	100	0	0	30	70	0	0.6
69	69	0.1	1,1	0,0,2	0,2,3	0,1,3	50	40	10	20	80	0	100	0	0	1
70	70	0.1	1,1	0,3,1	0,2,1	5,2,3	30	40	30	35	30	35	35	35	30	0.8
71	71	0.2	1,1	0,1,1	0,2,0	2,1,2	30	40	30	70	10	20	70	20	30	0.3
72	72	0.2	1,2	0,1,2	0,2,2	3,2,1	50	40	10	30	50	20	20	70	10	0.5
73	73	0.5	1,2	2,1,2	0,2,3	1,2,1	30	40	30	35	30	35	35	35	30	0.5
74	74	0.3	1,1	2,0,3	1,0,2	2,1,3	50	40	10	70	30	0	50	50	0	0.8
75	75	0.3	1,2	0,0,2	0,2,3	1,2,3	50	40	10	50	50	0	40	60	0	0.5
76	76	0.3	1,1	0,0,3	0,2,1	2,1,3	30	40	30	50	50	0	50	50	0	0.3
77	77	0.5	1,2	0,1,2	1,0,3	1,3,2	50	40	10	0	30	70	30	70	0	0.5
78	78	0.1	1,1	0,1,3	2,3,0	2,2,0	40	40	20	100	0	0	50	0	50	0.1
79	79	0.1	0,1	0,2,3	5,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
80	80	0.2	1,1	0,2,1	0,2,3	1,0,3	70	20	10	70	0	30	70	30	0	0.5
81	81	0.2	1,1	0,3,1	2,2,0	0,2,3	20	70	10	60	0	40	60	40	0	0.5
82	82	0.3	1,1	0,3,1	0,2,1	0,1,3	10	20	70	55	0	45	100	0	0	0.8
83	83	0.3	0,1	0,1,3	0,1,1	0,2,1	10	40	50	80	10	10	30	60	10	0.5
84	84	0.2	0,1	0,3,1	1,2,0	0,1,3	50	10	40	100	0	0	20	20	60	0.5
85	85	0.2	1,1	0,2,3	0,1,2	2,1,3	30	20	50	70	30	0	20	70	0	0.5
86	86	0.3	1,1	2,0,3	1,0,3	2,1,2	50	40	10	70	30	0	50	50	0	0.5
87	87	0.3	1,2	0,0,2	0,2,3	1,2,3	50	40	10	50	50	0	40	60	0	0.5
88	88	0.3	1,1	0,0,3	0,2,1	2,1,3	30	40	30	50	50	0	50	50	0	0.3
89	89	0.5	1,2	0,3,2	1,0,3	1,2,2	50	40	10	0	30	70	30	70	0	0.5
90	90	0.1	1,1	0,1,3	2,3,0	2,2,0	40	40	20	100	0	0	50	0	50	0.1
91	91	0.3	1,2	0,2,3	5,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
92	92	0.2	1,1	0,1,1	0,2,3	2,1,2	30	40	30	70	10	20	70	20	30	0.3
93	93	0.2	1,2	0,1,2	0,2,3	0,2,1	50	40	10	30	50	20	20	70	10	0.5
94	94	0.5	1,2	2,1,2	0,2,2	1,2,3	30	40	30	35	30	35	35	35	30	0.5
95	95	0.2	0,1	0,1,2	1,3,0	2,2,1	50	40	10	0	30	70	30	70	0	0.1
96	96	0.1	1,1	0,0,2	2,0,0	1,2,0	40	40	20	100	0	0	50	0	50	0.1
97	97	0.1	0,1	0,2,1	5,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
98	98	0.2	0,1	0,1,2	0,3,2	2,1,2	30	40	30	70	10	20	70	20	30	0.8
99	99	0.2	1,2	0,1,1	0,2,1	0,0,3	50	40	10	30	50	20	20	70	10	0.8
100	100	0.5	1,2	0,1,0	0,1,2	0,2,3	30	40	30	35	30	35	35	35	30	0.5
101	101	0.3	0,1	0,1,2	1,0,3	2,2,0	50	40	10	0	30	70	30	70	0	0.2
102	102	0.1	1,1	0,3,2	1,1,0	2,2,1	20	60	20	100	0	0	50	0	50	0.2
103	103	0.3	1,2	0,1,1	5,2,1	0,2,2	30	40	30	35	30	35	35	35	30	0.3
104	104	0.2	1,1	0,3,1	0,2,1	2,1,2	30	40	30	70	10	20	70	20	10	0.3
105	105	0.2	1,2	1,1,2	0,2,3	0,2,1	50	40	10	30	50	20	20	70	10	0.5
106	106	0.5	1,2	2,1,2	0,1,3	1,2,1	30	40	30	35	30	35	35	35	30	0.5
107	107	0.5	1,2	0,1,2	2,2,0	1,3,0	50	40	10	0	30	70	30	70	0	0.5
108	108	0.1	1,1	0,1,1	2,1,3	1,2,0	40	40	20	100	0	0	50	0	50	0.1
109	109	0.3	1,2	0,2,1	5,3,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
110	110	0.2	1,2	0,1,2	0,2,3	0,2,1	50	40	10	30	50	20	20	70	10	0.5
111	111	0.3	1,1	0,0,3	0,2,1	2,1,3	30	40	30	50	50	0	50	50	0	0.3
112	112	0.2	1,1	0,2,3	0,2,1	0,1,1	30	30	40	70	30	0	70	30	0	0.6
113	113	0.2	1,1	0,2,3	0,2,1	0,1,1	30	30	40	70	30	0	70	30	0	0.6
114	114	0.2	1,1	0,2,3	0,2,1	0,1,1	30	30	40	70	30	0	70	30	0	0.6
115	115	0.2	1,1	0,2,3	0,2,1	0,1,1	30	30	40	70	30	0	70	30	0	0.6
116	116	0.1	1,1	0,2,2	0,2,1	0,1,2	30	30	40	100	0	0	70	30	0	0.4
117	117	0.1	1,1	0,2,2	0,2,1	0,1,2	30	30	40	100	0	0	70	30	0	0.4
118	118	0.1	1,1	0,2,2	0,2,1	0,1,2	30	30	40	100	0	0	70	30	0	0.4
119	119	0.1	1,1	0,2,2	0,2,1	0,1,2	30	30	40	100	0	0	70	30	0	0.4
120	120	0.2	1,1	0,0,1	0,3,1	2,1,2	50	10	40	70	30	0	30	70	0	0.3
121	121	0.2	1,1	0,0,1	0,3,1	2,1,2	50	40	10	70	30	0	60	30	10	0.3
122	122	0.2	1,1	0,0,1	0,3,1	2,1,2	50	40	10	70	30	0	60	30	10	0.3
123	123	0.2	1,1	0,0,1	0,3,1	2,1,2	50	40	10	70	30	0	60	30	10	0.3
124	124	0.2	1,1	0,1,1	0,2,3	0,1,3	30	40	30	100	0	0	50	50	0	1.5
125	125	0.2	1,1	0,1,1	0,2,3	0,1,3	30	40	30	100	0	0	50	50	0	1.2
126	126	0.2	1,1	0,1,1	0,2,3	0,1,3	30	40	30	100	0	0	50	50	0	0.8
127	127	0.2	1,1	0,1,1	0,2,3	0,1,3	30	40	30	100	0	0	50	50	0	0.5
128	128	0.2	1,1	2,0,3	0,1,2	0,1,3	50	40	10	70	30	0	20	70	0	0.5
129	129	0.2	1,1	0,0,1	0,2,3	0,1,3	50	40	10	20	80	0	100	0	0	0.5
130	130	0.2	0,1	0,3,1	0,2,1	0,2,3	30	40	30	35	30	35	35	35	30	0.8
131	131	0.2	0,1	0,1,1	0,2,0	2,1,3	30	40	30	70	10	20	70	20	30	0.3
132	132	0.2	1,1	0,1,2	0,2,3	3,2,1	50	40	10	30	50	20	20	70	10	0.5
133	133	0.5	1,1	0,1,2	0,2,3	1,2,1	30	40	30	35	30	35	35	35	30	0.5
134	134	0.3	1,1	0,2,1	0,1,3	1,1,5	50	40	10	100	0	0	30	70	0	0.6
135	135	0.3	0,1	0,0,2	0,1,1	1,1,2	50	40	10	50	50	0	40	60	0	0.5
136	136	0.3	1,1	0,0,2	0,0,1	2,1,3	30	40	30	60	40	0	70	30	0	0.3
137	137	0.2	1,1	0,0,1	0,2,0	3,0,2	30	40	30	70	10	20	70	20	30	0.8
138	138	0.2	1,2	0,1,3	0,2,2	0,0,3	50	40	10	50	30	20	20	70	10	0.8
139	139	0.2	1,2	0,1,0	0,2,3	0,2,0	30	40	30	35	30	35	35	35	30	0.5
140	140	0.1	1,1	0,3,1	0,1,2	1,1,5	50	40	10	100	0	0	30	70	0	0.6
141	141	0.1	1,1	0,0,2	0,2,3	0,1,3	50	40	10	20	80	0	100	0	0	1
142	142	0.1	1,1	0,3,1	0,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.8
143	143	0.2	1,1	0,1,1	0,3,0	2,1,2	30	40	30	70	10	20	70	20	30	0.3
144	144	0.2	1,2	0,1,2	0,2,2	3,2,1	50	40	10	30	50	20	20	70	10	0.5
145	145	0.5	1,2	2,1,2	0,2,2	1,3,1	30	40	30	35	30	35	35	35	30	0.5
146	146	0.2	1,1	2,0,1	1,0,2	2,1,3	50	40	10	70	30	0	50	50	0	0.3
147	147	0.2	1,2	0,0,1	0,2,1	1,2,3	50	40	10	50	50	0	40	60	0	0.5
148	148	0.2	1,1	0,0,1	0,2,3	1,1,2	30	40	30	50	50	0	50	50	0	0.3
149	149	0.3	1,2	0,1,2	1,0,0	1,3,2	50	40	10	0	30	70	30	70	0	0.3
150	150	0.1	1,1	0,1,1	2,1,3	1,2,0	40	40	20	100	0	0	50	0	50	0.1
151	151	0.1	0,1	0,2,1	5,2,1	5,1,3	30	40	30	35	30	35	35	35	30	0.3
152	152	0.2	1,1	0,1,1	0,2,3	1,0,3	70	20	10	70	0	30	70	30	0	0.3
153	153	0.2	1,1	0,3,1	1,2,0	0,1,3	20	70	10	60	0	40	60	40	0	0.3
154	154	0.3	1,1	0,3,1	0,2,1	0,1,1	10	20	70	55	0	45	100	0	0	0.5
155	155	0.3	0,1	0,1,3	0,1,1	0,2,1	10	40	50	80	10	10	30	60	10	0.5
156	156	0.2	0,1	0,3,1	1,2,0	0,1,3	50	10	40	100	0	0	20	20	60	0.5
157	157	0.2	1,1	0,2,3	0,1,2	1,1,3	30	20	50	70	30	0	20	70	0	0.2
158	158	0.1	1,1	2,0,3	1,0,3	1,1,2	50	40	10	70	30	0	50	50	0	0.2
159	159	0.1	1,2	0,0,2	0,1,3	1,2,3	50	40	10	50	50	0	40	60	0	0.2
160	160	0.1	1,1	0,0,1	0,2,1	2,1,3	30	40	30	50	50	0	50	50	0	0.3
161	161	0.3	1,2	0,3,2	1,0,3	1,1,2	50	40	10	0	30	70	30	70	0	0.2
162	162	0.1	1,1	0,1,3	2,1,0	2,2,0	40	40	20	100	0	0	50	0	50	0.1
163	163	0.1	1,2	0,2,3	5,2,1	5,1,1	30	40	30	35	30	35	35	35	30	0.3
164	164	0.2	1,1	0,1,1	0,2,3	2,1,2	30	40	30	70	10	20	70	20	30	0.3
165	165	0.2	1,2	0,1,2	0,2,3	0,2,1	50	40	10	30	50	20	20	70	10	0.5
166	166	0.1	0,1	2,1,2	0,2,2	1,2,3	30	40	30	35	30	35	35	35	30	0.3
167	167	0.2	0,1	0,1,2	1,3,0	2,2,1	50	40	10	30	70	0	30	70	0	0.1
168	168	0.1	1,1	0,0,2	2,0,0	1,2,0	40	40	20	100	0	0	50	0	50	0.1
169	169	0.1	0,1	0,2,1	5,2,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
170	170	0.2	0,1	0,1,2	0,3,2	2,1,2	30	40	30	70	10	20	70	20	30	0.4
171	171	0.2	1,2	0,1,1	0,2,1	0,0,3	50	40	10	30	50	20	20	70	10	0.4
172	172	0.1	1,2	0,1,0	0,1,2	0,2,3	30	40	30	35	30	35	35	35	30	0.3
173	173	0.1	0,1	0,1,2	1,0,3	2,2,0	50	40	10	70	30	0	30	70	0	0.2
174	174	0.1	1,1	0,3,2	1,1,0	2,2,1	20	60	20	100	0	0	50	0	50	0.2
175	175	0.1	1,2	0,1,1	5,2,1	0,2,2	30	40	30	35	30	35	35	35	30	0.3
176	176	0.2	1,1	0,3,1	0,2,1	2,1,2	30	40	30	70	10	20	70	20	30	0.3
177	177	0.2	1,2	1,1,2	0,2,3	0,2,1	50	40	10	30	50	20	20	70	10	0.3
178	178	0.2	1,2	2,1,2	0,1,3	1,2,1	30	40	30	35	30	35	35	35	30	0.3
179	179	0.1	1,2	0,1,2	2,2,0	1,3,0	50	40	10	60	40	0	30	70	0	0.3
180	180	0.1	1,1	0,1,1	2,1,3	1,2,0	40	40	20	100	0	0	50	0	50	0.1
181	181	0.3	1,2	0,2,1	5,3,1	5,2,2	30	40	30	35	30	35	35	35	30	0.3
182	182	0.2	0,1	0,0,1	0,0,2	0,0,3	30	40	30	70	10	20	70	20	30	0.3
183	183	0.2	0,1	0,0,1	0,0,2	0,0,3	50	40	10	30	50	20	20	70	10	0.2
184	184	0.2	0,1	0,0,1	0,0,2	0,0,3	30	40	30	35	30	35	35	35	30	0.2
185	185	0.2	0,1	0,0,1	0,0,2	0,0,3	50	40	10	0	30	70	30	70	0	0.1
186	186	0.1	0,1	0,0,1	0,0,2	0,0,3	40	40	20	100	0	0	50	0	50	0.1
187	187	0.1	0,1	0,0,1	0,0,2	0,0,3	30	40	30	35	30	35	35	35	30	0.3
188	188	0.2	0,1	0,0,1	0,0,2	0,0,3	30	40	30	70	10	20	70	20	30	0.8
189	189	0.2	1,2	0,0,1	0,0,2	0,0,3	50	40	10	30	50	20	20	70	10	0.8
190	190	0.5	1,2	0,0,1	0,0,2	0,0,3	30	40	30	35	30	35	35	35	30	0.5
191	191	0.3	0,1	0,0,1	0,0,2	0,0,3	50	40	10	0	30	70	30	70	0	0.2
192	192	0.1	1,1	0,0,1	0,0,2	0,0,3	20	60	20	100	0	0	50	0	50	0.2
193	193	0.1	1,2	0,0,1	0,0,2	0,0,3	30	40	30	35	30	35	35	35	30	0.3
194	194	0.1	0,1	0,0,1	0,0,2	0,0,3	30	40	30	70	10	20	70	20	10	0.3
195	195	0.1	0,1	0,0,1	0,0,2	0,0,3	50	40	10	30	50	20	20	70	10	0.3
196	196	0.1	0,1	0,0,1	0,0,2	0,0,3	30	40	30	35	30	35	45	45	10	0.3
197	197	0.1	0,1	0,0,1	0,0,2	0,0,3	50	40	10	0	30	70	30	70	0	0.3
198	198	0.1	0,1	0,0,1	0,0,2	0,0,3	40	40	20	100	0	0	50	0	50	0.3
199	199	0.1	0,1	0,0,1	0,0,2	0,0,3	30	40	30	35	30	35	35	35	30	0.3
1001	1001	0.4	0,1	0,0,1	0,0,2	0,0,3	100	0	0	100	0	0	100	0	0	0.8
1002	1002	0.3	0,1	0,0,1	0,0,2	0,0,3	0	100	0	100	0	0	100	0	0	0.8
1003	1003	0.5	0,1	0,0,1	0,0,2	0,0,3	0	0	100	100	0	0	100	0	0	0.8
1004	1004	0.8	0,1	0,0,1	0,0,2	0,0,3	100	0	0	100	0	0	30	70	0	0.3
1005	1005	0.2	0,1	0,0,1	0,0,2	0,0,3	0	100	0	100	0	0	30	70	0	0.8
1006	1006	0.2	0,1	0,0,1	0,0,2	0,0,3	0	0	100	100	0	0	30	70	0	0.8
1007	1007	0.4	0,1	0,0,1	0,0,2	0,0,3	100	0	0	100	0	0	50	0	50	0.15
1008	1008	0.2	0,1	0,0,1	0,0,2	0,0,3	0	100	0	100	0	0	50	0	50	0.8
1009	1009	0.5	0,1	0,0,1	0,0,2	0,0,3	0	0	100	100	0	0	50	0	50	0.8
1010	1010	0.2	1,1	0,0,1	0,0,2	0,0,3	60	20	20	70	20	10	60	20	20	0.5
1011	1011	0.2	1,1	0,0,1	0,0,2	0,0,3	20	60	20	70	20	10	60	20	20	0.5
1012	1012	0.2	1,1	0,0,1	0,0,2	0,0,3	20	20	60	70	20	10	60	20	20	0.5
1013	1013	0.2	1,1	0,0,1	0,0,2	0,0,3	60	20	20	70	20	10	20	60	20	0.5
1014	1014	0.2	1,1	0,0,1	0,0,2	0,0,3	20	60	20	70	20	10	20	60	20	0.5
1015	1015	0.2	1,1	0,0,1	0,0,2	0,0,3	20	20	60	70	20	10	20	60	20	0.5
1016	1016	0.2	1,1	0,0,1	0,0,2	0,0,3	60	20	20	70	20	10	20	20	60	0.5
1017	1017	0.2	1,1	0,0,1	0,0,2	0,0,3	20	60	20	70	20	10	20	20	60	0.5
1018	1018	0.2	1,1	0,0,1	0,0,2	0,0,3	20	20	60	70	20	10	20	20	60	0.5
